"","cut0 R","cut0 p","cut0 sig","cut1 R","cut1 p","cut1 sig","f R","f p","f sig","g R","g p","g sig","ind R","ind p","ind sig","short R","short p","short sig","sy R","sy p","sy sig","ter R","ter p","ter sig","unk R","unk p","unk sig","al.1 R","al.1 p","al.1 sig","Ph.1 R","Ph.1 p","Ph.1 sig","unk.1 R","unk.1 p","unk.1 sig","adf R","adf p","adf sig","cellulose R","cellulose p","cellulose sig","llignin_extr R","llignin_extr p","llignin_extr sig","C.P_lit R","C.P_lit p","C.P_lit sig","N.P_lit R","N.P_lit p","N.P_lit sig","NH4.concentration R","NH4.concentration p","NH4.concentration sig","NO3.concentration R","NO3.concentration p","NO3.concentration sig","PO4.concentration R","PO4.concentration p","PO4.concentration sig","MG.litter R","MG.litter p","MG.litter sig","FE.litter R","FE.litter p","FE.litter sig","MN.litter R","MN.litter p","MN.litter sig","ZN.litter R","ZN.litter p","ZN.litter sig","corr...60. R","corr...60. p","corr...60. sig"
"cut0","1","0","***","0.828324262762875","7.61806173699142e-11","***","-0.824807856635618","1.07398481202098e-10","***","0.207152681884674","0.205743585547578","n.s.","0.534788291555154","0.000452561246178762","***","0.58347469182927","9.67326259018186e-05","***","0.277124724621088","0.0876421364641504",".","-0.870033985332171","6.41102464847558e-13","***","-0.735540566443578","9.60460996264745e-08","***","-0.0190444799768859","0.908386850135375","n.s.","-0.110929143042757","0.501397320624301","n.s.","-0.800542380165195","9.49899882652974e-10","***","-0.441748061303037","0.0054934887433447","**","-0.531406336905255","0.000596838641702898","***","-0.382524802356465","0.0177781846036681","*","-0.124131696879256","0.451510157358334","n.s.","0.202871686791958","0.215478125965234","n.s.","0.71583003193101","3.01314680761777e-07","***","0.603426249253632","4.7748689025795e-05","***","0.231854370659324","0.155532419847244","n.s.","-0.775362764062752","6.80005372056011e-09","***","-0.304144477172713","0.059774419378296",".","0.80242756436506","8.10665090611451e-10","***","0.509613440963965","0.000920695381464665","***","0.00883364949729652","0.957435320815946","n.s."
"cut1","0.828324262762875","7.61806173699142e-11","***","1","0","***","-0.650275692737277","7.43743143496909e-06","***","0.440355094075677","0.00502414840965648","**","0.514448586137498","0.000806694637269123","***","0.438154854926135","0.00527326828138075","**","0.468578044913594","0.00262420008266506","**","-0.864561510641886","1.31014392924494e-12","***","-0.544944009127976","0.000334420191275551","***","0.00714533694852489","0.965564987813644","n.s.","-0.443679038344075","0.00466714726044313","**","-0.862631320217068","1.673393250854e-12","***","-0.678095239564839","2.90209078829588e-06","***","-0.744086509020935","8.59526624814962e-08","***","-0.614635815775811","4.03629302834382e-05","***","-0.536899417808156","0.000425311328593614","***","-0.206723872306706","0.206704605198869","n.s.","0.789955911082215","2.24464979936556e-09","***","0.496212861986833","0.00131486636488631","**","0.609785299305601","3.77454757003459e-05","***","-0.650266413025251","7.44040420592546e-06","***","-0.214439741910377","0.189886193165272","n.s.","0.845672259179371","1.24005250512482e-11","***","0.703369228368486","5.91823019702176e-07","***","-0.0554247585519159","0.737531669530008","n.s."
"f","-0.824807856635618","1.07398481202098e-10","***","-0.650275692737277","7.43743143496909e-06","***","1","0","***","-0.0215908694057765","0.896200053123201","n.s.","-0.72087020057116","2.27002660268415e-07","***","-0.306301828441445","0.0578959143773139",".","-0.199975779811669","0.222240734663778","n.s.","0.704742636848413","5.50316433090003e-07","***","0.850375579434593","7.29416527178728e-12","***","-0.252334309284897","0.121200108386155","n.s.","-0.255698920456157","0.116152108731472","n.s.","0.698062429031327","7.80857253523948e-07","***","0.0834359351451438","0.618468425727107","n.s.","0.209916490692689","0.205894568809519","n.s.","0.0302739093867073","0.856816555954527","n.s.","-0.183589271473247","0.263245186493739","n.s.","-0.51652044257566","0.000761815714919885","***","-0.695550634013675","8.88500825677695e-07","***","-0.631456332111992","1.62845783442138e-05","***","0.102221298169768","0.535766466240414","n.s.","0.72263678422337","2.05255771712487e-07","***","0.624846667714143","2.11856118723652e-05","***","-0.749182780895718","4.09782208057093e-08","***","-0.411968422764504","0.00916336418967783","**","-0.057965646455369","0.725954035193645","n.s."
"g","0.207152681884674","0.205743585547578","n.s.","0.440355094075677","0.00502414840965648","**","-0.0215908694057765","0.896200053123201","n.s.","1","0","***","-0.389484000840282","0.0142523926442823","*","0.00222096704836833","0.989293772265275","n.s.","0.747310862006192","4.6204714276854e-08","***","-0.522949707016761","0.000636350463091851","***","0.138649941225091","0.399914575866862","n.s.","-0.506566443588551","0.00099967928313897","***","-0.866775434660537","9.84909932126545e-13","***","-0.540094696427447","0.000386854430861047","***","-0.702786939815219","8.68985265812676e-07","***","-0.597556163338055","7.4582590964705e-05","***","-0.703546855141948","8.35723567233515e-07","***","-0.573514361186215","0.000135294862062723","***","-0.511689982290997","0.000870092050097216","***","0.501456439791028","0.00114569646735063","**","0.213678097524988","0.191501964932553","n.s.","0.629381270992803","1.76983849244916e-05","***","-0.443406877047685","0.00469552693145154","**","0.417279830122642","0.00821980187398408","**","0.459622218765438","0.00324390729516866","**","0.428111525413881","0.00655099398698922","**","-0.146608649359087","0.373139454147926","n.s."
"ind","0.534788291555154","0.000452561246178762","***","0.514448586137498","0.000806694637269123","***","-0.72087020057116","2.27002660268415e-07","***","-0.389484000840282","0.0142523926442823","*","1","0","***","0.206411151737252","0.207407420893348","n.s.","-0.162656410063646","0.322492611200991","n.s.","-0.292062699624593","0.0712072619302054",".","-0.678360772250338","2.07924925445684e-06","***","0.667721203140595","3.42347181336855e-06","***","0.443927576589912","0.0046413610196705","**","-0.387651347972675","0.0147561478847321","*","0.0820985809862331","0.624125223037054","n.s.","-0.120060572968376","0.472767591785661","n.s.","0.154940790854626","0.352972348961503","n.s.","0.0648806623000069","0.694754701256992","n.s.","0.352774171300856","0.0276119415301039","*","0.472460611088214","0.00238953776455286","**","0.433335900044051","0.00585651409643595","**","-0.0809688991023816","0.624130435710898","n.s.","-0.190319370454716","0.245837511565051","n.s.","-0.841234165817116","2.01381835280715e-11","***","0.452268382215991","0.00384471487950555","**","0.270138398407518","0.0962704348557584",".","0.097787210649772","0.553693651537379","n.s."
"short","0.58347469182927","9.67326259018186e-05","***","0.438154854926135","0.00527326828138075","**","-0.306301828441445","0.0578959143773139",".","0.00222096704836833","0.989293772265275","n.s.","0.206411151737252","0.207407420893348","n.s.","1","0","***","-0.214153396727458","0.190492519704117","n.s.","-0.499868969921505","0.00119475142138989","**","-0.541107253703388","0.000375334703586878","***","-0.231795333684873","0.155640660949319","n.s.","-0.0618776526701311","0.708246440545188","n.s.","-0.553455454035084","0.000257580994039703","***","-0.295945069093285","0.0712252311977183",".","-0.265380382425233","0.107334669028389","n.s.","-0.29099687178138","0.076314200677069",".","-0.00911369394523602","0.956087221975627","n.s.","0.145511018550533","0.376767483284045","n.s.","0.297120677427791","0.0662281035102721",".","0.275527531616253","0.0895599083728975",".","0.173584141123936","0.290597398557898","n.s.","-0.402017831996911","0.0111818586999294","*","-0.0243991245701185","0.882787275655774","n.s.","0.333274146431406","0.0381473266521899","*","0.286624126933921","0.0768844050829309",".","-0.0552319895582237","0.738412398990049","n.s."
"sy","0.277124724621088","0.0876421364641504",".","0.468578044913594","0.00262420008266506","**","-0.199975779811669","0.222240734663778","n.s.","0.747310862006192","4.6204714276854e-08","***","-0.162656410063646","0.322492611200991","n.s.","-0.214153396727458","0.190492519704117","n.s.","1","0","***","-0.475198968540949","0.00223530126916481","**","0.0989768307682043","0.548856450083814","n.s.","-0.159544769449257","0.331960232707393","n.s.","-0.66345693613655","4.15767925932128e-06","***","-0.441719974930519","0.00487479135601337","**","-0.48254741808061","0.00215330419478762","**","-0.441820882625514","0.0054848535369029","**","-0.47098857197407","0.00284036678115357","**","-0.497913230585219","0.00125773659298582","**","-0.387747801691096","0.0147292649826127","*","0.484416808100454","0.00177840781901439","**","0.179484461040154","0.274253310768752","n.s.","0.458026833723246","0.00336678091104847","**","-0.393590784912483","0.0131761131958027","*","0.181896995442376","0.26774750341291","n.s.","0.448389017514033","0.00419905650572172","**","0.341565388203035","0.0333251367622713","*","-0.164765959541666","0.316171076795301","n.s."
"ter","-0.870033985332171","6.41102464847558e-13","***","-0.864561510641886","1.31014392924494e-12","***","0.704742636848413","5.50316433090003e-07","***","-0.522949707016761","0.000636350463091851","***","-0.292062699624593","0.0712072619302054",".","-0.499868969921505","0.00119475142138989","**","-0.475198968540949","0.00223530126916481","**","1","0","***","0.590275808199448","7.6440071422601e-05","***","0.306405176787751","0.0578071187944684",".","0.40153579842077","0.0112885605794395","*","0.865300376353357","1.19171339463264e-12","***","0.644055809062043","1.28326464918782e-05","***","0.63648410397341","1.74320571959541e-05","***","0.610700640768024","4.66434618309197e-05","***","0.304370325486507","0.0595755205930126",".","0.00364056854254288","0.98245139920674","n.s.","-0.724033007480163","1.89449695215681e-07","***","-0.526048639232349","0.000582735151614296","***","-0.482978191478274","0.00184378637804724","**","0.85479320159349","4.35762537165374e-12","***","0.0564934054953725","0.732655218679444","n.s.","-0.854741670847818","4.38434045741133e-12","***","-0.626593907473719","1.97738526813679e-05","***","0.0337278054698349","0.838482450632129","n.s."
"unk","-0.735540566443578","9.60460996264745e-08","***","-0.544944009127976","0.000334420191275551","***","0.850375579434593","7.29416527178728e-12","***","0.138649941225091","0.399914575866862","n.s.","-0.678360772250338","2.07924925445684e-06","***","-0.541107253703388","0.000375334703586878","***","0.0989768307682043","0.548856450083814","n.s.","0.590275808199448","7.6440071422601e-05","***","1","0","***","-0.207966892084446","0.20392740632475","n.s.","-0.338495611573267","0.0350486340462961","*","0.65096891970351","7.21840576112243e-06","***","6.42295481781102e-05","0.999694641072004","n.s.","0.116457280490952","0.48625068154463","n.s.","-0.0445391698111822","0.79061048335298","n.s.","-0.307612834131219","0.056777536517987",".","-0.593179246175363","6.90186564174824e-05","***","-0.52496075288482","0.000601079321657252","***","-0.517023961404117","0.000751250223156273","***","0.164285934822622","0.317602631117898","n.s.","0.64985903585647","7.57198554590666e-06","***","0.558678911725341","0.000218680309092001","***","-0.591452611467216","7.33491110141618e-05","***","-0.332757326343444","0.0384658101653998","*","-0.136962104084089","0.40573182900967","n.s."
"al.1","-0.0190444799768859","0.908386850135375","n.s.","0.00714533694852489","0.965564987813644","n.s.","-0.252334309284897","0.121200108386155","n.s.","-0.506566443588551","0.00099967928313897","***","0.667721203140595","3.42347181336855e-06","***","-0.231795333684873","0.155640660949319","n.s.","-0.159544769449257","0.331960232707393","n.s.","0.306405176787751","0.0578071187944684",".","-0.207966892084446","0.20392740632475","n.s.","1","0","***","0.478952082644855","0.00203813681643861","**","0.0634222490921665","0.701295699003049","n.s.","0.435544142997307","0.00627363889892152","**","0.277927738770375","0.0911238991190821",".","0.47142137005253","0.00281154693873908","**","0.0835069237165787","0.61326556650077","n.s.","0.186891437691121","0.254604744142575","n.s.","0.0650301649064685","0.694085400739878","n.s.","-0.0136487215518256","0.934275533018663","n.s.","-0.252204001309249","0.121398868856414","n.s.","0.299625479541429","0.0638663174856315",".","-0.723176575166435","1.99005732743167e-07","***","-0.0351988409265656","0.831537063523123","n.s.","-0.0454987616097556","0.783287461583661","n.s.","0.334586525854206","0.0373482394240905","*"
"Ph.1","-0.110929143042757","0.501397320624301","n.s.","-0.443679038344075","0.00466714726044313","**","-0.255698920456157","0.116152108731472","n.s.","-0.866775434660537","9.84909932126545e-13","***","0.443927576589912","0.0046413610196705","**","-0.0618776526701311","0.708246440545188","n.s.","-0.66345693613655","4.15767925932128e-06","***","0.40153579842077","0.0112885605794395","*","-0.338495611573267","0.0350486340462961","*","0.478952082644855","0.00203813681643861","**","1","0","***","0.377794806575747","0.017730787498357","*","0.813744545302936","5.25969490183797e-10","***","0.688933978838576","1.73416527915471e-06","***","0.815760792916419","4.40115277555719e-10","***","0.808160080006114","4.95365748420795e-10","***","0.79307256193448","1.75161063431517e-09","***","-0.295609755346948","0.0676857731311105",".","0.019518376950583","0.906117170337019","n.s.","-0.841445005890076","1.96862121731395e-11","***","0.208644301478054","0.202424923359931","n.s.","-0.592206376641948","7.14292484181571e-05","***","-0.293681371187521","0.0695828109852196",".","-0.411501791168665","0.00925051862725716","**","0.114987383120396","0.485771607035499","n.s."
"unk.1","-0.800542380165195","9.49899882652974e-10","***","-0.862631320217068","1.673393250854e-12","***","0.698062429031327","7.80857253523948e-07","***","-0.540094696427447","0.000386854430861047","***","-0.387651347972675","0.0147561478847321","*","-0.553455454035084","0.000257580994039703","***","-0.441719974930519","0.00487479135601337","**","0.865300376353357","1.19171339463264e-12","***","0.65096891970351","7.21840576112243e-06","***","0.0634222490921665","0.701295699003049","n.s.","0.377794806575747","0.017730787498357","*","1","0","***","0.577839625733943","0.000145279721804226","***","0.612853908719161","4.31049697116048e-05","***","0.531893882464314","0.000588663351960728","***","0.334457589440967","0.0374261367155615","*","0.0181529770931816","0.912658539548219","n.s.","-0.818403060729975","1.96960051103183e-10","***","-0.57161317809108","0.000144066388005991","***","-0.426061498200893","0.00684228413334354","**","0.75922535032942","2.11316544262985e-08","***","0.270229686966173","0.096153640099286",".","-0.861830544885424","1.85020425170626e-12","***","-0.679237594135199","1.99372050381463e-06","***","0.0438194432420343","0.79110491088765","n.s."
"adf","-0.441748061303037","0.0054934887433447","**","-0.678095239564839","2.90209078829588e-06","***","0.0834359351451438","0.618468425727107","n.s.","-0.702786939815219","8.68985265812676e-07","***","0.0820985809862331","0.624125223037054","n.s.","-0.295945069093285","0.0712252311977183",".","-0.48254741808061","0.00215330419478762","**","0.644055809062043","1.28326464918782e-05","***","6.42295481781102e-05","0.999694641072004","n.s.","0.435544142997307","0.00627363889892152","**","0.813744545302936","5.25969490183797e-10","***","0.577839625733943","0.000145279721804226","***","1","0","***","0.892397365451986","5.32907051820075e-14","***","0.984937424605376","0","***","0.728160809597744","2.2032131008487e-07","***","0.592584272471514","8.86010002951743e-05","***","-0.527676825485206","0.000662796592071355","***","-0.266253542134883","0.106140269688005","n.s.","-0.780344671615588","7.61805130902279e-09","***","0.364459579945168","0.0244722593607689","*","-0.334619717278052","0.0400294580456692","*","-0.515433981400357","0.000927265531702671","***","-0.520677865772017","0.00080429183067643","***","0.165103728549347","0.321886383670323","n.s."
"cellulose","-0.531406336905255","0.000596838641702898","***","-0.744086509020935","8.59526624814962e-08","***","0.209916490692689","0.205894568809519","n.s.","-0.597556163338055","7.4582590964705e-05","***","-0.120060572968376","0.472767591785661","n.s.","-0.265380382425233","0.107334669028389","n.s.","-0.441820882625514","0.0054848535369029","**","0.63648410397341","1.74320571959541e-05","***","0.116457280490952","0.48625068154463","n.s.","0.277927738770375","0.0911238991190821",".","0.688933978838576","1.73416527915471e-06","***","0.612853908719161","4.31049697116048e-05","***","0.892397365451986","5.32907051820075e-14","***","1","0","***","0.800929328700242","1.5562182653639e-09","***","0.675736525705081","3.23703521387664e-06","***","0.494510373576715","0.00160022151730632","**","-0.618381387274051","3.51085068799974e-05","***","-0.387514694137","0.0162270825552445","*","-0.657995774797459","7.1401764999428e-06","***","0.379449880415468","0.0187945664652753","*","-0.0933035099012694","0.577414065303995","n.s.","-0.579162832577533","0.000139107678391519","***","-0.481673630997806","0.0021995941975179","**","0.264896158577598","0.108001420168157","n.s."
"llignin_extr","-0.382524802356465","0.0177781846036681","*","-0.614635815775811","4.03629302834382e-05","***","0.0302739093867073","0.856816555954527","n.s.","-0.703546855141948","8.35723567233515e-07","***","0.154940790854626","0.352972348961503","n.s.","-0.29099687178138","0.076314200677069",".","-0.47098857197407","0.00284036678115357","**","0.610700640768024","4.66434618309197e-05","***","-0.0445391698111822","0.79061048335298","n.s.","0.47142137005253","0.00281154693873908","**","0.815760792916419","4.40115277555719e-10","***","0.531893882464314","0.000588663351960728","***","0.984937424605376","0","***","0.800929328700242","1.5562182653639e-09","***","1","0","***","0.707257826732749","6.89493958372367e-07","***","0.596805561830846","7.65613162161394e-05","***","-0.463215398996033","0.00340377861246426","**","-0.204799886698769","0.217418158757845","n.s.","-0.783297807333983","6.13026101653878e-09","***","0.338198720024101","0.0378207316746768","*","-0.408250662155339","0.0109431663109117","*","-0.461998454345573","0.0035002703807693","**","-0.506312666082719","0.00118129620139821","**","0.117570557931114","0.482063803936796","n.s."
"C.P_lit","-0.124131696879256","0.451510157358334","n.s.","-0.536899417808156","0.000425311328593614","***","-0.183589271473247","0.263245186493739","n.s.","-0.573514361186215","0.000135294862062723","***","0.0648806623000069","0.694754701256992","n.s.","-0.00911369394523602","0.956087221975627","n.s.","-0.497913230585219","0.00125773659298582","**","0.304370325486507","0.0595755205930126",".","-0.307612834131219","0.056777536517987",".","0.0835069237165787","0.61326556650077","n.s.","0.808160080006114","4.95365748420795e-10","***","0.334457589440967","0.0374261367155615","*","0.728160809597744","2.2032131008487e-07","***","0.675736525705081","3.23703521387664e-06","***","0.707257826732749","6.89493958372367e-07","***","1","0","***","0.925352622816909","0","***","-0.307968452326911","0.0564771602293513",".","0.0765110746620668","0.643403565227696","n.s.","-0.85836368373261","2.8378325619542e-12","***","0.0717365129630066","0.664304011377823","n.s.","-0.25683211458423","0.114488117372904","n.s.","-0.394526535096789","0.0129407580710265","*","-0.51633626190046","0.000765713329928088","***","0.0332902611543522","0.840550639136727","n.s."
"N.P_lit","0.202871686791958","0.215478125965234","n.s.","-0.206723872306706","0.206704605198869","n.s.","-0.51652044257566","0.000761815714919885","***","-0.511689982290997","0.000870092050097216","***","0.352774171300856","0.0276119415301039","*","0.145511018550533","0.376767483284045","n.s.","-0.387747801691096","0.0147292649826127","*","0.00364056854254288","0.98245139920674","n.s.","-0.593179246175363","6.90186564174824e-05","***","0.186891437691121","0.254604744142575","n.s.","0.79307256193448","1.75161063431517e-09","***","0.0181529770931816","0.912658539548219","n.s.","0.592584272471514","8.86010002951743e-05","***","0.494510373576715","0.00160022151730632","**","0.596805561830846","7.65613162161394e-05","***","0.925352622816909","0","***","1","0","***","-0.0121376484581389","0.941538722627936","n.s.","0.302901289649077","0.0608787331400915",".","-0.758415291143095","2.23174363325366e-08","***","-0.176030540276665","0.283746154101561","n.s.","-0.479137230219904","0.0020288191673224","**","-0.07966137637242","0.629758661292753","n.s.","-0.305949496261052","0.0581994507028399",".","0.0258485827012389","0.875876728465843","n.s."
"NH4.concentration","0.71583003193101","3.01314680761777e-07","***","0.789955911082215","2.24464979936556e-09","***","-0.695550634013675","8.88500825677695e-07","***","0.501456439791028","0.00114569646735063","**","0.472460611088214","0.00238953776455286","**","0.297120677427791","0.0662281035102721",".","0.484416808100454","0.00177840781901439","**","-0.724033007480163","1.89449695215681e-07","***","-0.52496075288482","0.000601079321657252","***","0.0650301649064685","0.694085400739878","n.s.","-0.295609755346948","0.0676857731311105",".","-0.818403060729975","1.96960051103183e-10","***","-0.527676825485206","0.000662796592071355","***","-0.618381387274051","3.51085068799974e-05","***","-0.463215398996033","0.00340377861246426","**","-0.307968452326911","0.0564771602293513",".","-0.0121376484581389","0.941538722627936","n.s.","1","0","***","0.726957762591609","1.59923011278096e-07","***","0.317887897976085","0.0485971463382526","*","-0.573996072185573","0.000133150336179063","***","-0.343837459312802","0.0320947863791258","*","0.759095794189034","2.1317283049882e-08","***","0.51833625321221","0.00072432411618717","***","-0.147150685846527","0.371355523837399","n.s."
"NO3.concentration","0.603426249253632","4.7748689025795e-05","***","0.496212861986833","0.00131486636488631","**","-0.631456332111992","1.62845783442138e-05","***","0.213678097524988","0.191501964932553","n.s.","0.433335900044051","0.00585651409643595","**","0.275527531616253","0.0895599083728975",".","0.179484461040154","0.274253310768752","n.s.","-0.526048639232349","0.000582735151614296","***","-0.517023961404117","0.000751250223156273","***","-0.0136487215518256","0.934275533018663","n.s.","0.019518376950583","0.906117170337019","n.s.","-0.57161317809108","0.000144066388005991","***","-0.266253542134883","0.106140269688005","n.s.","-0.387514694137","0.0162270825552445","*","-0.204799886698769","0.217418158757845","n.s.","0.0765110746620668","0.643403565227696","n.s.","0.302901289649077","0.0608787331400915",".","0.726957762591609","1.59923011278096e-07","***","1","0","***","0.00103918329579943","0.994990478099373","n.s.","-0.486767171818318","0.00167598158043308","**","-0.37767833737457","0.0177687431210785","*","0.549108008120371","0.000294580769572228","***","0.228934363846469","0.160951999181359","n.s.","-0.310743454013932","0.0541765473439611","."
"PO4.concentration","0.231854370659324","0.155532419847244","n.s.","0.609785299305601","3.77454757003459e-05","***","0.102221298169768","0.535766466240414","n.s.","0.629381270992803","1.76983849244916e-05","***","-0.0809688991023816","0.624130435710898","n.s.","0.173584141123936","0.290597398557898","n.s.","0.458026833723246","0.00336678091104847","**","-0.482978191478274","0.00184378637804724","**","0.164285934822622","0.317602631117898","n.s.","-0.252204001309249","0.121398868856414","n.s.","-0.841445005890076","1.96862121731395e-11","***","-0.426061498200893","0.00684228413334354","**","-0.780344671615588","7.61805130902279e-09","***","-0.657995774797459","7.1401764999428e-06","***","-0.783297807333983","6.13026101653878e-09","***","-0.85836368373261","2.8378325619542e-12","***","-0.758415291143095","2.23174363325366e-08","***","0.317887897976085","0.0485971463382526","*","0.00103918329579943","0.994990478099373","n.s.","1","0","***","-0.177713398470265","0.279094631004745","n.s.","0.370569761591205","0.0202180919910713","*","0.387462978546181","0.0148087684074607","*","0.509128715656752","0.000932877284608224","***","-0.00578362212828348","0.972124540676847","n.s."
"MG.litter","-0.775362764062752","6.80005372056011e-09","***","-0.650266413025251","7.44040420592546e-06","***","0.72263678422337","2.05255771712487e-07","***","-0.443406877047685","0.00469552693145154","**","-0.190319370454716","0.245837511565051","n.s.","-0.402017831996911","0.0111818586999294","*","-0.393590784912483","0.0131761131958027","*","0.85479320159349","4.35762537165374e-12","***","0.64985903585647","7.57198554590666e-06","***","0.299625479541429","0.0638663174856315",".","0.208644301478054","0.202424923359931","n.s.","0.75922535032942","2.11316544262985e-08","***","0.364459579945168","0.0244722593607689","*","0.379449880415468","0.0187945664652753","*","0.338198720024101","0.0378207316746768","*","0.0717365129630066","0.664304011377823","n.s.","-0.176030540276665","0.283746154101561","n.s.","-0.573996072185573","0.000133150336179063","***","-0.486767171818318","0.00167598158043308","**","-0.177713398470265","0.279094631004745","n.s.","1","0","***","0.0755137670765522","0.647747619872334","n.s.","-0.857833291052918","3.02673679194917e-12","***","-0.560352222946622","0.000207386909350675","***","-0.0320562838769438","0.846389058240839","n.s."
"FE.litter","-0.304144477172713","0.059774419378296",".","-0.214439741910377","0.189886193165272","n.s.","0.624846667714143","2.11856118723652e-05","***","0.417279830122642","0.00821980187398408","**","-0.841234165817116","2.01381835280715e-11","***","-0.0243991245701185","0.882787275655774","n.s.","0.181896995442376","0.26774750341291","n.s.","0.0564934054953725","0.732655218679444","n.s.","0.558678911725341","0.000218680309092001","***","-0.723176575166435","1.99005732743167e-07","***","-0.592206376641948","7.14292484181571e-05","***","0.270229686966173","0.096153640099286",".","-0.334619717278052","0.0400294580456692","*","-0.0933035099012694","0.577414065303995","n.s.","-0.408250662155339","0.0109431663109117","*","-0.25683211458423","0.114488117372904","n.s.","-0.479137230219904","0.0020288191673224","**","-0.343837459312802","0.0320947863791258","*","-0.37767833737457","0.0177687431210785","*","0.370569761591205","0.0202180919910713","*","0.0755137670765522","0.647747619872334","n.s.","1","0","***","-0.312145031665926","0.0530434060605667",".","-0.0719161175294546","0.663513126292964","n.s.","-0.00215628571690451","0.989605553089938","n.s."
"MN.litter","0.80242756436506","8.10665090611451e-10","***","0.845672259179371","1.24005250512482e-11","***","-0.749182780895718","4.09782208057093e-08","***","0.459622218765438","0.00324390729516866","**","0.452268382215991","0.00384471487950555","**","0.333274146431406","0.0381473266521899","*","0.448389017514033","0.00419905650572172","**","-0.854741670847818","4.38434045741133e-12","***","-0.591452611467216","7.33491110141618e-05","***","-0.0351988409265656","0.831537063523123","n.s.","-0.293681371187521","0.0695828109852196",".","-0.861830544885424","1.85020425170626e-12","***","-0.515433981400357","0.000927265531702671","***","-0.579162832577533","0.000139107678391519","***","-0.461998454345573","0.0035002703807693","**","-0.394526535096789","0.0129407580710265","*","-0.07966137637242","0.629758661292753","n.s.","0.759095794189034","2.1317283049882e-08","***","0.549108008120371","0.000294580769572228","***","0.387462978546181","0.0148087684074607","*","-0.857833291052918","3.02673679194917e-12","***","-0.312145031665926","0.0530434060605667",".","1","0","***","0.74953879623743","4.00485478113666e-08","***","-0.0148246554872105","0.928626835344077","n.s."
"ZN.litter","0.509613440963965","0.000920695381464665","***","0.703369228368486","5.91823019702176e-07","***","-0.411968422764504","0.00916336418967783","**","0.428111525413881","0.00655099398698922","**","0.270138398407518","0.0962704348557584",".","0.286624126933921","0.0768844050829309",".","0.341565388203035","0.0333251367622713","*","-0.626593907473719","1.97738526813679e-05","***","-0.332757326343444","0.0384658101653998","*","-0.0454987616097556","0.783287461583661","n.s.","-0.411501791168665","0.00925051862725716","**","-0.679237594135199","1.99372050381463e-06","***","-0.520677865772017","0.00080429183067643","***","-0.481673630997806","0.0021995941975179","**","-0.506312666082719","0.00118129620139821","**","-0.51633626190046","0.000765713329928088","***","-0.305949496261052","0.0581994507028399",".","0.51833625321221","0.00072432411618717","***","0.228934363846469","0.160951999181359","n.s.","0.509128715656752","0.000932877284608224","***","-0.560352222946622","0.000207386909350675","***","-0.0719161175294546","0.663513126292964","n.s.","0.74953879623743","4.00485478113666e-08","***","1","0","***","0.0856646202292699","0.604092336674922","n.s."
"corr...60.","0.00883364949729652","0.957435320815946","n.s.","-0.0554247585519159","0.737531669530008","n.s.","-0.057965646455369","0.725954035193645","n.s.","-0.146608649359087","0.373139454147926","n.s.","0.097787210649772","0.553693651537379","n.s.","-0.0552319895582237","0.738412398990049","n.s.","-0.164765959541666","0.316171076795301","n.s.","0.0337278054698349","0.838482450632129","n.s.","-0.136962104084089","0.40573182900967","n.s.","0.334586525854206","0.0373482394240905","*","0.114987383120396","0.485771607035499","n.s.","0.0438194432420343","0.79110491088765","n.s.","0.165103728549347","0.321886383670323","n.s.","0.264896158577598","0.108001420168157","n.s.","0.117570557931114","0.482063803936796","n.s.","0.0332902611543522","0.840550639136727","n.s.","0.0258485827012389","0.875876728465843","n.s.","-0.147150685846527","0.371355523837399","n.s.","-0.310743454013932","0.0541765473439611",".","-0.00578362212828348","0.972124540676847","n.s.","-0.0320562838769438","0.846389058240839","n.s.","-0.00215628571690451","0.989605553089938","n.s.","-0.0148246554872105","0.928626835344077","n.s.","0.0856646202292699","0.604092336674922","n.s.","1","0","***"
