"","diff_lig R","diff_lig p","diff_lig sig","diff_lig/acc_resp R","diff_lig/acc_resp p","diff_lig/acc_resp sig","diff_ch R","diff_ch p","diff_ch sig","diff_ch/acc_resp R","diff_ch/acc_resp p","diff_ch/acc_resp sig"
"Mass.loss","0.29051210333344","0.214027153052559","n.s.","0.122357320701151","0.607319985672274","n.s.","-0.149944390941178","0.528055389119903","n.s.","0.0351610108690465","0.883001991485039","n.s."
"Cellulase","0.656607413739679","0.00166259495453924","**","0.512712097773879","0.0208000467103993","*","-0.760219399879215","0.000100238809789586","***","-0.580407697370502","0.0072954930209478","**"
"Chitinase","0.549499688791335","0.0120836476710926","*","0.40819950977038","0.0739780819731528",".","-0.813277085819669","1.30152642706979e-05","***","-0.636383454587729","0.00255568764857568","**"
"Phosphatase","0.409052340433486","0.0733178835671469",".","0.360455233977942","0.118469783021243","n.s.","-0.749457449951307","0.000142536861559354","***","-0.722228608140077","0.000323162349466313","***"
"Protease","0.185851549782038","0.432742340611161","n.s.","0.119872047100077","0.614691866451157","n.s.","-0.295662321712784","0.205645588943914","n.s.","-0.253075443044344","0.281676591298814","n.s."
"Peroxydase","0.632452568094962","0.00276893546966139","**","0.459059040568461","0.0417465780497599","*","-0.669379128020267","0.00124680925527816","**","-0.436517962340971","0.0543204334412852","."
"Phenoloxidase","0.598774492301587","0.00527914956950637","**","0.425504973943544","0.0614247180192264",".","-0.588314666439842","0.0063616111043901","**","-0.366935789932778","0.111515779991877","n.s."
"Amino.acid.concentration","0.499820831663349","0.0248294984104656","*","0.39965873776191","0.0808366429110383",".","-0.61755648708329","0.00371627210457599","**","-0.531241592836826","0.0159376966652992","*"
"Gross.protein.depolymerization","0.453989732657021","0.0443557579766605","*","0.297379948106274","0.202899454408436","n.s.","-0.331619424649401","0.153191985417773","n.s.","-0.203067428262511","0.390523422509113","n.s."
"Gross.amino.acid.immobilization","0.321147965962356","0.167390163437996","n.s.","0.228576526396442","0.332385778125311","n.s.","-0.0877968467515488","0.712821302641022","n.s.","0.0105057926379556","0.964937042162014","n.s."
"Gross.N.mineralization","0.466345826192767","0.0441527710039211","*","0.339925829021372","0.154467358724799","n.s.","-0.663664571709855","0.00194721974986073","**","-0.523002523508287","0.0215791640940179","*"
"Gross.NH4.immobilization","0.506588502767625","0.0268691475327882","*","0.384749082682241","0.103831755725105","n.s.","-0.681433627042381","0.0013149461988764","**","-0.540521100440732","0.0168781164073722","*"
"Gross.nitrification","0.587112439908367","0.00822160474181866","**","0.428130605764302","0.0674452520079127",".","-0.706774534419014","0.000716298058192084","***","-0.542888774526145","0.0163109490684215","*"
"Gross.NO3.immobilization","0.596266456749408","0.00704948952700812","**","0.439455681593172","0.0597562296889662",".","-0.657829641480774","0.00220317790219097","**","-0.504114026455514","0.0277477313269014","*"
"Gross.P.mineralization","0.664841698832152","0.00261001173484998","**","0.553242784920857","0.0172367754451894","*","-0.549957711497467","0.0180512861551367","*","-0.303246293266132","0.221230684337244","n.s."
"Gross.P.immobilization","0.198316227823494","0.430191694057313","n.s.","0.117818890561016","0.641498337422982","n.s.","0.00338158879529688","0.989375027687797","n.s.","0.136756529180081","0.588432945460255","n.s."
"Glucan.Gross.Depolymerisation","0.205610217229679","0.384488496783332","n.s.","0.229781780158517","0.329772563771039","n.s.","-0.25676765395081","0.274475761188008","n.s.","-0.263039986655526","0.262508872822097","n.s."
"Glucan.Net.Depolymerisation","-0.0606309271836102","0.805242265183199","n.s.","-0.0170448185032844","0.944784816787956","n.s.","0.260215973844394","0.281961028299396","n.s.","0.238512506669313","0.325429983977393","n.s."
"Glucose.Gross.Consumption","0.196589749454472","0.40613258329128","n.s.","0.199314636567625","0.399525450531619","n.s.","-0.341210011721203","0.140942430508723","n.s.","-0.333996694056653","0.150089037242085","n.s."
"Glucose.concentration","0.0755484597166059","0.751576839916182","n.s.","0.0706579083315554","0.767218466580688","n.s.","-0.357702001957517","0.121516188966725","n.s.","-0.407763483153174","0.0743173309006859","."
"Acid.detergent.fibre","-0.61658736816408","0.00378620802549292","**","-0.497383090529145","0.0256564781320936","*","0.413871635504743","0.0696695402966072",".","0.18265415409595","0.440839680941378","n.s."
"Cellulose","-0.57625289746372","0.00782944881315938","**","-0.424197791324004","0.0623124507780137",".","0.347808585555859","0.132924670629883","n.s.","0.0914682229631895","0.701330582059453","n.s."
"Lignin.not.ash.corrected","-0.603167614537789","0.00487225269356778","**","-0.505473454614395","0.0229928891221784","*","0.422858888388412","0.0632317366165887",".","0.215372677748088","0.361808384019974","n.s."
"Starch","-0.0712658103534188","0.778705930168382","n.s.","-0.0830644215283817","0.743154216148713","n.s.","0.155553924611115","0.537663161692943","n.s.","0.220482954624208","0.379311403019712","n.s."
"NH4.concentration","0.636906334812997","0.00252838299279223","**","0.492008071266731","0.0275567402016665","*","-0.647135805025548","0.00204114129043291","**","-0.463415630395251","0.0396004301115256","*"
"NO3.concentration","0.12767942637867","0.591656336678909","n.s.","-0.0199527434462245","0.933459013389063","n.s.","-0.50449069653282","0.0233042138404391","*","-0.436703235125384","0.0542065288829884","."
"PO4.concentration","0.623154320875424","0.00333293400996504","**","0.561827455274925","0.0099368702324567","**","-0.420698151579144","0.0647368253420737",".","-0.221225177730281","0.348588050923899","n.s."
"Respiration","0.332960544554274","0.151436048914938","n.s.","0.211006514705793","0.371855368432099","n.s.","-0.722869581384466","0.000317337924763599","***","-0.570677626239985","0.00859572378600855","**"
"C_lit","-0.54511968457045","0.0129310490743079","*","-0.629347730898266","0.00294766428986887","**","0.506097125978842","0.0227970345740676","*","0.520199658012826","0.0187102427587189","*"
"N_lit","0.354469047862655","0.125164339934218","n.s.","0.206967746304396","0.381288079342474","n.s.","-0.517394138281342","0.0194726706588103","*","-0.304550885720973","0.191698752205028","n.s."
"P_lit","0.682321622498468","0.000918432495174093","***","0.569472686107354","0.00876911235114952","**","-0.221825268646383","0.34724855795573","n.s.","0.0449082119948083","0.850878150164754","n.s."
"C.N_lit","-0.404597915297116","0.0768151951764146",".","-0.263431393248683","0.261773208976582","n.s.","0.586452167226129","0.00657222234656629","**","0.387984044574337","0.0909600844961669","."
"C.P_lit","-0.636216068193608","0.00256448029140742","**","-0.555199575470918","0.0110487168341153","*","0.174316745014447","0.462322106469744","n.s.","-0.0759371855985238","0.750337469097755","n.s."
"N.P_lit","-0.512016149580542","0.0210033485642073","*","-0.470797422906415","0.0361602242351637","*","-0.0286598520818143","0.904529143730717","n.s.","-0.225424224145848","0.339278114943075","n.s."
"K.litter","0.39132987607864","0.087968438612685",".","0.312883545193916","0.179214740216308","n.s.","-0.501859667936641","0.0241541497722879","*","-0.434432505963668","0.0556151711950442","."
"CA.litter","0.0211940880047683","0.929328837445833","n.s.","0.108979143711635","0.64741628336656","n.s.","0.0452043941282771","0.849905299871875","n.s.","-0.00324384091545648","0.989170836798347","n.s."
"MG.litter","-0.577599301222804","0.00765302867113532","**","-0.574569915443944","0.00805463033535975","**","0.746947137277736","0.000154353464596912","***","0.760327746905676","9.98751181418012e-05","***"
"FE.litter","0.0933103278827318","0.695588394119486","n.s.","0.212114497804636","0.369290953052928","n.s.","-0.117389451043702","0.622091485029928","n.s.","-0.20238157081239","0.392160155940424","n.s."
"MN.litter","0.720138864565837","0.000342788746083622","***","0.637420935329072","0.00250174864691477","**","-0.659597251593458","0.00155610731981961","**","-0.518964860487614","0.0190428194615734","*"
"ZN.litter","0.66825022324507","0.00127962220690359","**","0.672386041542005","0.00116284535054589","**","-0.427677676267182","0.0599703912386842",".","-0.337495184395994","0.145602658114439","n.s."
"C_mic","0.554279172532704","0.0112107867860725","*","0.374314833251034","0.103961480005532","n.s.","-0.259375920933844","0.269458831058121","n.s.","0.0259238227304856","0.913608965519749","n.s."
"N_.mic","0.256503053021601","0.274987947908637","n.s.","0.100757011454322","0.67254064616534","n.s.","0.161870223809328","0.495357932597904","n.s.","0.427604349467252","0.060019044331354","."
"P_mic","-0.161502631486875","0.496350767983802","n.s.","-0.274158264656524","0.242118388345209","n.s.","0.59173466813889","0.00598930494989891","**","0.763898376432609","8.8506982188541e-05","***"
"C.N_mic","0.665582168245864","0.0013600708072643","**","0.587103177258058","0.00649796570683026","**","-0.757958242263603","0.000108092958922474","***","-0.642053769397621","0.0022723272102079","**"
"C.Pmic","0.692358217857629","0.000717073294240755","***","0.64615214530186","0.00208428271383876","**","-0.787044643394415","3.833241744632e-05","***","-0.692836646563937","0.000708493919595807","***"
"N.Pmic","0.58209616708176","0.00708719768156985","**","0.586814228438385","0.00653083887088224","**","-0.728666843166447","0.000268599413186594","***","-0.687452840592291","0.000810232823402688","***"
"DOC","0.609457217801517","0.00433503051391759","**","0.481638541263512","0.0315346367606124","*","-0.766019383845943","8.22957737937787e-05","***","-0.596542213671086","0.00549639086582634","**"
"TN","0.476176327694313","0.0338034495448061","*","0.358676227025","0.120431898186351","n.s.","-0.730457100402675","0.000254905621863232","***","-0.631722837275796","0.00281010868036078","**"
"DON","-0.604133867028199","0.00478632287942118","**","-0.435462772944455","0.0549726371266514",".","0.569676679724602","0.00873955928383285","**","0.360328953237683","0.118608301605668","n.s."
"pH.H2O","0.0310800163097551","0.89650701826765","n.s.","-0.00685407736192535","0.977120731495619","n.s.","0.0502142249672859","0.833482534747533","n.s.","0.0143659777178967","0.952065991348404","n.s."
"total.PFLA.content","0.219521582761423","0.366527800322764","n.s.","0.200242846516444","0.411101607661148","n.s.","-0.171709373558904","0.482118561370404","n.s.","-0.148971200065286","0.542737400380137","n.s."
"identified.PLFA.content","0.218304859663423","0.369256864016551","n.s.","0.195959919847877","0.421384551625027","n.s.","-0.165121169418793","0.499330072603512","n.s.","-0.138584450865136","0.571524673825686","n.s."
"approx..Fungal.Biomass","0.250646764744393","0.300663022682534","n.s.","0.214746307781644","0.377304142014659","n.s.","0.119096349849213","0.627236351986767","n.s.","0.154573931673898","0.527487461215895","n.s."
"main.fungal.marker.18.2.9.12.c","0.250794271894514","0.300369172856586","n.s.","0.214864293112364","0.377035768409666","n.s.","0.11889518539822","0.627822329599431","n.s.","0.154473814403093","0.527758213736656","n.s."
"Sum.of.gram.positiv.markers","-0.0325493443453144","0.894761581975041","n.s.","0.0360595553911682","0.883482438704886","n.s.","-0.189369414582933","0.437471973778095","n.s.","-0.258316055507801","0.285615835953617","n.s."
"Sum.of.general.bacterial.markers.incl..gram.","0.231043106017092","0.341256531324406","n.s.","0.207725069588574","0.393466660791479","n.s.","-0.259037237206446","0.284225114628323","n.s.","-0.231835896455298","0.339555848159807","n.s."
"ratioF.B.1","0.307083638092261","0.200952079444964","n.s.","0.187745145360333","0.441485480740485","n.s.","0.349936585184392","0.141916481680182","n.s.","0.472379651961313","0.0411268409282755","*"
"ratioF.B.2","0.1866692312882","0.444154530739574","n.s.","0.180157131527948","0.46048643357551","n.s.","-0.0602534698169214","0.806432761781186","n.s.","-0.0125264388569485","0.959408155738737","n.s."
"ratioF.B.3","-0.257259895909057","0.287660051641262","n.s.","-0.221176152555854","0.362835060506191","n.s.","0.653593560424152","0.00240600412653125","**","0.630467155020912","0.003805898093866","**"
"acc_resp","0.0680981595332133","0.775440506375748","n.s.","-0.106455320613538","0.655090891864283","n.s.","0.292697761290083","0.21044312022381","n.s.","0.541820974716032","0.0136003967646094","*"
"CN_inbal","-0.560189534930042","0.0102027819841064","*","-0.466553149641043","0.0381085293077745","*","0.810159491253926","1.4924116967352e-05","***","0.676264360876319","0.00106162494122719","**"
"CP_inbal","-0.816775460212626","1.1128840503575e-05","***","-0.780402099547384","4.92288240745303e-05","***","0.663130821479834","0.00143769202391297","**","0.501582272346673","0.0242451708649769","*"
"NP_inbal","-0.799879884747624","2.30422407044508e-05","***","-0.780054037501124","4.98667775733793e-05","***","0.582251992845312","0.00706822258410567","**","0.435255162044587","0.0551016584286841","."
