"","PC1","PC2","peaks.orig"
"f1sim",-0.717780514077841,-0.291733083680811,"C"
"f2sim",-0.531673832112048,-0.173249618609328,"C"
"f3sim",-0.268552496935643,-0.409944034347468,"C"
"f4sim",-0.356879832239011,-0.260102908660710,"C"
"f5sim",-0.72131402395419,0.246238152765151,"C"
"f6sim",-0.577502785446902,-0.426714237198765,"C"
"f7sim",-0.603245325194319,-0.50959375773304,"C"
"f8sim",-0.177765341291402,-0.647926688353417,"C"
"f9sim",-0.682138689133157,-0.469620013631191,"C"
"cp10sim",0.781813214781261,-0.118555183442082,"C"
"f11sim",-0.657501575725843,-0.414914240511359,"C"
"cp12sim",0.823178367959533,-0.0172603920361908,"C"
"cp13sim",0.689162406486438,0.0915170984382569,"C"
"f14sim",-0.0411535946009677,-0.636066414304157,"C"
"f15sim",-0.694858689355416,-0.420424357563321,"C"
"ar1sim",0.314369213344744,0.400466876204482,"non"
"ar2sim",0.341305512247094,0.361241479847804,"non"
"ar3sim",-0.266583102252782,0.440362960249557,"non"
"ar4sim",-0.704698790717692,0.238732033090221,"non"
"ar5sim",0.688438709640163,0.374846679152348,"non"
"ar6sim",0.666155605496335,-0.187287880852987,"non"
"ph1sim",0.135432452277917,0.80757331963074,"Ph"
"ph2sim",-0.255685525230138,0.792196276797024,"Ph"
"ph3sim",-0.222788886228795,0.286335943542536,"Ph"
"ph4sim",-0.271045856669961,0.419949180721527,"Ph"
"ph5sim",0.0107149664766441,0.591889537621344,"Ph"
"ph6sim",-0.55015171750986,0.44746678403736,"Ph"
"ph7sim",0.326766000137016,0.638017680969175,"Ph"
"ph8sim",0.793451850064817,0.0175375168204673,"Ph"
"cp1sim",0.204935868343469,-0.379058271175611,"C"
"cp2sim",0.794208540924818,-0.0368882264146617,"C"
"cp3sim",0.598472088150725,-0.211422494539760,"C"
"f4sim.1",-0.715451385355208,-0.412484308492578,"C"
"cp5sim",0.562028090350574,-0.465235045187558,"C"
"f6sim.1",-0.475197120586018,-0.65755497162136,"C"
"cp7sim",0.75545021182929,0.172155558398033,"C"
"f8sim.1",-0.202768082365712,-0.564244946547923,"C"
"f9sim.1",-0.743722812925447,-0.357567464923726,"C"
"f10sim",-0.625712596897165,-0.434169390772110,"C"
"cp1sim.1",0.626036769893834,-0.409712393242689,"C"
"cp2sim.1",0.716346644446245,-0.0984826523878957,"C"
"cp3sim.1",0.716493893967732,-0.068139894380895,"C"
"cp4sim",0.787113770508612,-0.00420981116736638,"C"
"cp5sim.1",0.205201174911457,-0.57819334862354,"C"
"cp6sim",0.760105875651348,-0.104789693166453,"C"
"cp7sim.1",0.493214755960353,-0.266671786758367,"C"
"cp8sim",0.682292977438323,-0.424254724484747,"C"
"p1sim",0.440154275057163,-0.0423509840895525,"N"
"p2sim",0.60003615263652,0.115592562705276,"N"
"p3sim",0.707992220723667,0.118846518413895,"N"
"p4sim",0.605154588310647,0.197720602920122,"N"
"p5sim",0.715226446690327,0.235193267001170,"N"
"p6sim",0.524040424098540,0.404947931450175,"N"
"p7sim",0.180484941826398,0.566126731001138,"N"
"unk8sim",0.236186356376153,-0.106463014490025,"unk"
"ind9sim",0.520065912111357,0.524188800526971,"N"
"ind10sim",0.578331205677669,0.434500905246453,"N"
"cut01sim",0.721697040068746,0.0167379910101456,"Cut"
"cut12sim",0.653695247758529,-0.417970332767205,"Cut"
"cut03sim",0.680318182876553,0.0561526521680276,"Cut"
"cut14sim",0.741573958759748,0.168479777188416,"Cut"
"cut05sim",0.67098906449151,0.103433155493685,"Cut"
"cut16sim",0.725761067914699,-0.141167406031652,"Cut"
"f3sim.1",-0.287551988821834,-0.385469272445838,"C"
"cp4sim.1",0.78594399512519,-0.0486740345500574,"C"
"ar5sim.1",-0.0498855529588638,0.140178997439719,"non"
"ter6sim",-0.766836245632156,0.161316689803925,"non"
"p7sim.1",0.632225987426244,0.144525098102504,"N"
"f8sim.2",-0.127507631405635,-0.716989120745997,"C"
"cp13sim.1",0.770904765623679,-0.0129890549223455,"C"
"cp14sim",0.739399355126406,-0.242701302699927,"C"
"ar16sim",-0.0209054146559395,0.0662854054185905,"non"
"cp17sim",0.480976115354007,-0.164445068744536,"C"
"ar18sim",0.649195062151633,0.168746853390122,"non"
"cp19sim",0.276869683329936,-0.161170614346649,"C"
"cp20sim",0.205269767584703,0.169058915102073,"C"
"al22sim",-0.000474117400866239,0.343853040045621,"al"
"unk23sim",-0.295162550852896,0.112307679566052,"unk"
"unk24sim",-0.174183249191507,0.19793615256212,"unk"
"unk25sim",-0.0986489302320736,-0.74119596838674,"unk"
"al26sim",0.676848660476775,0.248177916079336,"unk"
"o27sim",0.0115911181607099,-0.176575781007344,"unk"
"bf28sim",-0.68902681933689,0.357785771676411,"unk"
"unk29sim",-0.48666340153879,-0.42803287376076,"unk"
"g1sim",0.838547117297855,-0.0782912972627294,"L"
"g2sim",-0.293075780714788,-0.697537181407074,"L"
"g3sim",0.0209643525926453,-0.259532471843503,"L"
"g4sim",0.263808757758853,-0.757272671338548,"L"
"g5sim",0.245591702965164,-0.651276030716614,"L"
"g6sim",0.501543945401013,-0.577480196925171,"L"
"sy7sim",0.807228717758452,0.150487019516881,"L"
"g8sim",0.540399388094481,-0.58391492477764,"L"
"sy9sim",-0.437212580190005,-0.560476280686518,"L"
"sy10sim",-0.126792535478155,0.161099991806247,"L"
"ph11sim",0.241830117963694,0.714625213829894,"Ph"
"sy12sim",0.268341067652591,-0.723595271545107,"L"
"sy13sim",0.404743264806236,-0.278552279454354,"L"
"g14sim",0.303301400049225,-0.731721735184456,"L"
"g15sim",-0.484573423864292,-0.409092688060498,"L"
"g16sim",0.681444876548823,-0.480814969063609,"L"
"sy17sim",0.220542292686904,-0.437349575484643,"L"
"g18sim",0.205623294339984,-0.599579659660021,"L"
"g19sim",0.760446443816438,-0.306022129015488,"L"
"sy20sim",0.404554640335703,-0.456594862494292,"L"
"sy21sim",0.239205827257578,-0.721873747120366,"L"
"ph22sim",-0.0214766682811820,0.376225425373986,"Ph"
"sy23sim",0.58831034870273,-0.577959627054939,"L"
"g24sim",0.0566254869100245,-0.73595875635083,"L"
"sy25sim",0.444887241455495,-0.372768339727360,"L"
"sy26sim",0.236220929323495,-0.596060317333078,"L"
"g27sim",0.0297797932677937,-0.642501649447329,"L"
"g28sim",0.716968976872675,0.109431505604948,"L"
"sy29sim",0.0786013508221252,-0.289628096655453,"L"
"sy30sim",-0.0162455834478979,-0.555392772203615,"L"
"cp1sim.2",0.648397679580652,-0.0551217638440777,"C"
"short2sim.1",0.398848308761056,0.170573513834163,"non"
"short3sim",0.181497396791796,-0.511893489967572,"non"
"short4sim",0.560705605608228,0.0206314594791351,"non"
"short5sim",0.270407284740538,-0.498366582551808,"non"
"short6sim",0.767648257701107,-0.139961326369217,"non"
"short7sim",0.192395805422744,-0.321879567363827,"non"
"short8sim",-0.305826013854278,-0.735323254676031,"non"
"short9sim",0.664475673936857,-0.276782506642518,"non"
"short10sim",0.216650956906579,0.0576218472228645,"non"
"short11sim",0.097774597915337,-0.357351318031190,"non"
"fa1sim",-0.00394426848510117,0.119061304010188,"lip"
"fa2sim",0.0377765400915489,0.170636839141240,"lip"
"fa3sim",-0.00284314703753924,0.0812909255265322,"lip"
