"Code","Harvest","Litter","Initial (start) FM","Initial (start) DM","Start water content","FM at harvest","DM at harvest","Water content at harvest","Mass loss","Cellulase","Chitinase","Phosphatase","Protease","Peroxydase","Phenoloxidase","Amino acid concentration","Gross protein depolymerization","Gross amino acid immobilization","Gross N mineralization","Gross NH4 immobilization","Gross nitrification","Gross NO3 immobilization","Gross P mineralization","Gross P immobilization","Glucan Gross Depolymerisation","Glucan Net Depolymerisation","Glucose Gross Consumption","Glucose concentration","Acid detergent fibre","Cellulose","Lignin not ash corrected","Starch","NH4 concentration","NO3 concentration","PO4 concentration","Respiration","C_lit","N_lit","P_lit","C:N_lit","C:P_lit","N:P_lit","K litter","CA litter","MG litter","FE litter","MN litter","ZN litter","C_mic","N_ mic","P_mic","C:N_mic","C:Pmic","N:Pmic","DOC","TN","DON","pH H2O","total PFLA content","identified PLFA content ","approx. Fungal Biomass","main fungal marker 18:2(9,12)c","Sum of gram positiv markers","Sum of general bacterial markers incl. gram+","ratioF/B 1","ratioF/B 2","ratioF/B 3","acc_resp","F2BqPCR","F2Bprot"
"E1-A-I-A","I","AK",61.38,24.55,60,38.04,24.31,36.11,1,0.021,0.018,0.864,0.109,1.003,0.531,2.47,99.28,180.61,14.37,1.17,10.19,8.23,50.92,93.36,126.62,-152.3,278.92,50.25,,,,,2.48,2.05,18.22,371.5066666667,51.82,0.92,0.04,56.3,1328.72,23.6,0.26,1.37,0.28,214,175,32,0.89,0.07,68.45,12.49,12.5,1,387.74,9.6,5.08,6.5,,,,,,,,,,,10.45,5.4
"E1-A-I-C","I","AK",61.07,24.43,60,43.9,24.19,44.9,1,0.027,0.025,0.976,0.144,0.253,0.294,2.65,130.03,254.68,20.82,17.55,10.19,6.86,57.9,101.91,,-104.86,86.81,31.92,,,,,2.23,2.22,12.9,502.6266666667,50.48,0.89,0.04,56.77,1262,22.23,0.25,1.31,0.27,208,179,30,1.42,0.08,82.32,17.64,16.69,0.95,425.59,10.13,5.67,6.5,,,,,,,,,,,6.72,5.4
"E1-A-I-D","I","AK",60.79,24.31,60,44.36,24.07,45.74,1,0.074,0.029,0.962,0.203,0.3,0.313,1.54,110.78,157.33,15.61,11.02,15.05,12.64,73.43,100.95,43.83,-59.04,102.87,26.27,,,,,2.92,2.5,14.81,191.07,50.63,0.86,0.04,58.65,1332.37,22.72,0.26,1.33,0.27,211,174,31,0.8,0.08,84.06,9.85,9.17,0.93,527.27,13.63,8.2,6.6,,,,,,,,,,,8.11,5.4
"E1-A-I-E","I","AK",61.86,24.74,60,38.67,24.5,36.66,1,0.034,0.016,0.859,0.104,0.332,0.383,2.43,81.42,210.39,10.28,2.78,9.83,9.6,43.2,39.1,293.56,-125.12,418.68,53.09,,,,,2,2.21,13.13,252.4866666667,49.73,0.85,0.04,58.28,1227.78,21.07,0.26,1.33,0.27,213,166,30,0.41,0.07,69.92,6.2,5.7,0.92,405.98,10.23,6.02,6.6,,,,,,,,,,,11.58,5.4
"E1-A-I-F","I","AK",60.82,24.33,60,39.73,24.09,39.38,1,0.061,0.024,0.921,0.137,0.235,0.199,2.66,120.41,237.52,15.48,3.76,12.04,10.43,71.37,104.59,146.93,-152.09,299.02,47.14,,,,,3.07,2.24,25.18,294.0666666667,51.63,0.87,0.04,59.28,1259.15,21.24,0.26,1.31,0.27,203,167,31,1.26,0.08,52.28,15.32,22.95,1.5,536.34,13.67,8.37,6.5,,,,,,,,,,,29.47,5.4
"E1-A-II-A","II","AK",61.41,24.56,60,44.65,21.7,51.4,11.66,3.567,2.182,25.581,1.601,0.33,0.435,7.99,75.56,240.53,31.81,36.01,31.33,38.77,21.75,28.7,161.78,-89.79,251.58,18.11,64.06,26.82,35.81,0.06,6.3,1.62,37.05,149.27,50.65,0.87,0.04,58.47,1266.13,21.65,0.25,1.39,0.28,214,184,36,2.14,0.14,227.87,15.72,9.25,0.59,398.53,15.48,7.56,7,363.16,1571.05,22,259.62,40.52,668.02,6.41,0.0116,1.2181,,12.8,1.1
"E1-A-II-B","II","AK",60.92,24.37,60,45.23,24.48,45.88,-0.44,5.289,2.449,23.651,1.518,0.949,0.561,7.02,48.23,47.64,31.04,28.97,36.35,61.06,37,78.74,310.13,-190.66,500.79,48.08,62.78,25.55,35.82,0.071,6.4,2.62,59.58,129.2866666667,50.85,0.9,0.04,56.21,1240.24,22.07,0.24,1.39,0.28,217,169,34,2.23,0.14,204.81,15.49,10.69,0.69,302.57,12.25,3.23,7,457.55,2034.48,28.74,339.12,47.79,852.77,7.1,0.0055,1.2727,,15.14,1.1
"E1-A-II-C","II","AK",61.66,24.66,60,51.04,26.85,47.4,-8.85,2.331,1.673,20.287,1.079,0.368,0.353,7.16,27.55,88.44,11.72,6.5,44.02,63.2,37.12,81,219.51,-148.48,367.99,31.63,62.76,25.81,35.55,,6.24,2.24,39.45,107.5433333333,47.74,0.83,0.04,57.23,1256.18,21.95,0.23,1.25,0.26,199,159,30,1.93,0.12,276.87,16.05,6.88,0.43,325.46,12.79,4.31,6.9,433.48,1873.39,31.43,370.87,40.15,711.21,9.24,0.0098,1.498,,10.09,1.1
"E1-A-II-D","II","AK",60.81,24.32,60,48.24,23.25,51.8,4.41,4.094,2.521,26.311,1.903,0.598,0.566,7.2,43.61,179.48,11.82,7.91,42.33,61.29,32.25,54.29,214.63,-132.01,346.64,31.07,53.33,23.54,28.6,0.07,7.82,3.26,57.75,0,49.85,0.88,0.04,56.44,1311.84,23.24,0.24,1.31,0.28,204,151,34,1.8,0.13,257.55,13.63,6.88,0.5,312.29,12.27,1.19,7.1,428.33,1711.67,25.94,306.04,19.15,635.47,15.98,0.0249,1.5342,,12.98,1.1
"E1-A-II-E","II","AK",60.94,24.37,60,44.83,23.08,48.51,5.3,2.004,3.262,17.228,1.003,0.31,0.319,7.74,131.42,231.89,12.43,14.57,39.58,58.01,31.61,51.98,256.99,-173.07,430.05,36.55,65.77,27.24,37.06,0.049,7.4,2.95,38.41,164.34,50.05,0.88,0.04,56.58,1220.61,21.57,0.25,1.31,0.28,218,170,33,1.92,0.12,256.73,15.98,7.36,0.46,329.35,13.25,2.89,7,518.5,2274.34,33.27,392.53,62.22,951.16,6.31,0.0107,1.2685,,12.23,1.1
"E1-A-III-A","III","AK",61.52,24.61,60,52.19,23.98,54.05,2.56,1.293,0.715,25.413,1.765,0.491,0.372,6.02,258.57,231.1,10.09,0.45,21.27,21.04,33.94,70.17,322.1,,287.18,17.04,48.46,22.1,25.28,0.093,7.23,2.49,43.19,73.7366666667,50.65,0.94,0.04,53.89,1332.89,24.73,0.26,1.34,0.28,200,160,34,3.89,0.49,333.82,8.01,11.48,1.43,84.83,3.1,-6.61,6.9,238.58,1079.5,15.04,177.47,54.01,512.65,3.29,0.0066,0.9703,0.0010914287,8.87,1.8
"E1-A-III-B","III","AK",61.78,24.71,60,52.5,24.73,52.89,-0.08,1.481,1.137,25.531,1.353,0.711,0.766,5.26,307.88,271.12,4.42,0.05,11.93,12.84,24.06,33.23,159.98,-150.1,310.08,32.24,46.77,23.96,21.76,0.091,9.07,3.35,46.71,145.09,50.9,0.92,0.04,55.62,1305.13,23.46,0.26,1.36,0.28,218,167,35,3.91,0.55,282.54,7.11,13.59,1.91,93.91,4.07,-8.35,6.9,233.33,1061.24,15.36,181.23,50.21,496.98,3.61,0.0039,1.0113,0.0010681769,14.81,1.8
"E1-A-III-C","III","AK",61.29,24.52,60,52.36,23.63,54.87,3.63,1.506,0.879,29.892,1.575,0.444,0.718,7.03,396.77,305.62,7.44,8.58,17.84,19.72,44.49,93.86,457.59,-142.11,599.7,47.58,54.12,23.64,29.27,0.066,8.81,4.11,56.72,104.5,49.5,0.86,0.08,57.44,651.32,11.34,0.56,1.37,0.17,205,2359,47,3.47,0.57,353.28,6.13,9.68,1.58,102.6,3.13,-9.79,6.9,286.49,1301.35,17.4,205.31,56.11,638.4,3.66,0.0039,0.9203,0.0007727452,15.54,1.8
"E1-A-III-D","III","AK",61.07,24.43,60,52.03,23.46,54.9,3.95,0.732,0.124,27.055,1.83,0.573,0.403,6.42,280.32,267.85,5.62,2.57,18.27,22.08,28.1,52.82,238.52,-103.66,342.19,29.57,53.23,24.74,27.3,0.106,9.79,4.24,46.27,118.6166666667,50.98,0.95,0.04,53.57,1307.18,24.4,0.27,1.44,0.29,209,174,34,3.44,0.49,385.96,7.09,8.78,1.24,105.43,4.07,-9.95,6.8,233.36,1055.01,14.31,168.91,56.64,497.07,2.98,0.0072,0.976,0.0008829449,8.72,1.8
"E1-A-III-E","III","AK",60.68,24.27,60,51.47,24.06,53.25,0.85,0.512,0.312,25.452,1.442,0.448,0.71,6.01,337.03,361.8,7.12,7.79,13.14,12.16,24.75,30.89,274.97,-211.16,486.13,45.01,57.18,23.6,32.3,0.063,8.31,3.38,62.99,121.7333333333,50.94,0.92,0.04,55.39,1306.15,23.58,0.26,1.36,0.28,220,166,32,2.74,0.44,326.33,6.21,8.28,1.33,91.5,4.32,-7.37,6.8,132.45,598.81,9.92,117.01,28.43,285.38,4.12,0.012,0.9636,0.0008798634,30.01,1.8
"E1-A-IV-B","IV","AK",60.03,24.01,60,46.62,22.17,52.45,7.68,42.18,35.04,175.68,1.04,-0.137,0.055,,,,16.11,21.11,14.3,10.34,24.92,123.2,,,,,,,,,14.73,5.31,51.58,75.68,47.24,0.86,0.03,54.686,1369.13,25.036,0.23,1.39,0.28,202,170,32.5,2.12,0.14,127.16,15.15,16.67,1.1,1752.5565757107,79.4637453583,,6.7,,,,,,,,,,,11.87,
"E1-A-IV-C","IV","AK",60.2,24.08,60,49.24,22.46,54.39,6.74,46.9,41.04,218.06,0.76,-0.757,0.111,,,,10.66,10.79,14,12.19,38.49,114.73,,,,,,,,,16.74,5.13,53.12,65.2666666667,46.93,0.84,0.04,55.542,1321.831,23.799,0.24,1.42,0.3,204.5,167,35,2.16,0.13,97.99,16.54,22.07,1.33,1403.1499896393,61.5638829914,,6.9,,,,,,,,,,,17.23,
"E1-A-IV-D","IV","AK",60.27,24.11,60,47.02,22.72,51.68,5.76,30.95,29.35,260.99,1.01,-0.382,0.111,,,,25.48,24.55,12.97,16.1,55.78,105.53,,,,,,,,,20.17,6.15,60.65,115.39,46.85,0.82,0.03,57.468,1357.826,23.628,0.24,1.38,0.28,174,161,32,1.76,0.13,90.52,14.01,19.41,1.38,1602.4525844138,67.7936453461,,6.8,,,,,,,,,,,10.01,
"E1-A-IV-E","IV","AK",60.63,24.25,60,46.84,22.93,51.05,5.45,59.46,55.76,368.38,1.1,-2.096,0.287,,,,16.45,20.95,27.25,24.08,48.47,83.97,,,,,,,,,16.68,5.29,61.08,92.29,46.87,0.86,0.03,54.52,1358.406,24.916,0.24,1.36,0.28,170.5,163,33.5,2.32,0.15,122.04,14.98,19.01,1.27,2279.1286009575,85.3925479755,,6.7,,,,,,,,,,,10.66,
"E1-A-IV-F","IV","AK",60.23,24.09,60,39.7,22.3,43.83,7.44,30.79,47.81,198.78,0.79,-0.62,0.087,,,,12.41,13.9,14.48,14.13,25.79,70.92,,,,,,,,,20.84,5.87,50.5,82.1333333333,46.84,0.84,0.03,55.693,1419.242,25.483,0.24,1.35,0.28,164,159,34.5,1.78,0.1,94.62,17.18,18.85,1.1,1426.8618363163,60.8508968528,,6.9,,,,,,,,,,,12.55,
"E1-K-I-A","I","KL",61.81,24.72,60,42.96,24.48,43.02,1,0.401,0.296,1.825,0.093,0.78,0.545,14.58,420.23,519.41,18.7,12.92,24.57,22.15,22.53,122.72,512.73,-1796.49,2309.22,572.33,,,,,9.38,2.22,11.93,496.0633333333,50.2,0.94,0.03,53.49,1454.93,27.2,0.53,1.29,0.14,205,1439,33,2.31,0.18,97.29,12.49,23.02,1.84,145.35,4.15,-7.45,6.4,,,,,,,,,,,140.98,9
"E1-K-I-B","I","KL",61.07,24.43,60,40.65,24.18,40.51,1,0.32,0.208,1.28,0.103,0.915,0.566,13.5,360.05,487.17,19.38,34.22,21.42,9.39,124.19,142.32,380.35,-1655.27,2035.62,492.09,,,,,9.15,2.51,8.98,519.6033333333,49.5,0.97,0.03,50.83,1546.88,30.43,0.53,1.23,0.14,204,1464,32,1.99,0.17,98.11,11.89,19.74,1.66,146.4,4.52,-7.13,6.5,,,,,,,,,,,78.87,9
"E1-K-I-C","I","KL",60.92,24.37,60,38.31,24.12,37.02,1,0.254,0.166,1.403,0.076,1.14,0.513,8.52,296.35,367.27,21.55,17.79,30.33,24.19,87.98,86.79,428.58,-1557.17,1985.75,435.3,,,,,12.14,2.51,14.66,521.3266666667,48.86,0.91,0.03,53.5,1563.36,29.22,0.53,1.24,0.14,203,1409,33,,0.22,76.44,,,2.81,141.83,4.29,-10.36,6.5,,,,,,,,,,,104.62,9
"E1-K-I-D","I","KL",61.19,24.48,60,36.08,24.23,32.85,1,0.08,0.066,1.205,0.065,0.978,0.535,15.74,520.97,565.59,19.56,17.74,53.19,48.29,264.75,388.85,925.83,-1356.84,2282.67,901.24,,,,,9.31,2.16,19.13,323.6933333333,47.7,0.91,0.03,52.43,1589.83,30.32,0.54,1.29,0.14,204,1411,33,0.41,0.2,95.68,2.12,4.19,1.98,111.79,3.31,-8.16,6.3,,,,,,,,,,,158.76,9
"E1-K-I-E","I","KL",61.39,24.56,60,37.11,24.31,34.48,1,0.079,0.037,1.698,0.066,0.519,0.639,12.92,252.91,362.59,13.57,10.74,44.06,40.08,293.32,417.9,2021.27,-1723.35,3744.62,971.79,,,,,11.96,2.27,30.71,364.5766666667,50.77,0.96,0.03,52.73,1586.56,30.09,0.55,1.23,0.15,223,1425,34,,0.25,29.35,,,7.8,150.55,4.17,-10.05,6.3,,,,,,,,,,,43.8,9
"E1-K-II-A","II","KL",61.25,24.5,60,43.87,21.99,49.86,10.23,12.766,9.122,35.904,1.135,0.934,1.287,10.34,85.17,140.7,42.64,43.14,49.23,62.21,24.56,64.01,433.91,-306.73,740.64,83.31,55.16,24.3,29.62,0.1,14.32,3.42,33.1,236.6833333333,49.57,1.05,0.03,47.25,1501.97,31.79,0.54,1.28,0.15,224,1518,35,2.79,0.21,120.2,13.34,22.52,1.69,110.27,5.21,-12.53,7,500.56,2212.52,29.86,352.36,59.87,972.32,5.89,0.0729,1.1268,,59.22,4.5
"E1-K-II-B","II","KL",61.04,24.42,60,47.15,25.75,45.38,-5.48,8.073,8.033,29.406,0.758,0.583,1.486,9.04,104.56,199.93,23.52,21.07,42.52,54.53,21.93,37.34,548.97,-689.62,1238.59,141.15,59.06,24.69,33.05,0.1,11.98,2.77,25.61,0,49.11,0.96,0.03,51.05,1488.03,29.15,0.54,1.35,0.15,235,1472,47,2.84,0.18,110.5,15.5,24.97,1.61,130.33,5.39,-9.37,7,433.32,1903.96,27.63,326.04,49.32,843.63,6.61,0.0632,1.1177,,28.6,4.5
"E1-K-II-C","II","KL",60.99,24.4,60,46.56,24.32,47.77,0.31,10.137,7.039,29.193,0.766,0.799,0.916,9.38,134.24,145.63,23.04,25.42,48.57,66.05,17.51,19.3,612.31,-343.33,955.64,88.89,54.17,23.85,29.11,0.09,12.23,3.01,27.58,129.9833333333,49.71,1.02,0.03,48.82,1506.36,30.86,0.55,1.22,0.14,214,1515,35,3.4,0.22,122.99,15.71,26.9,1.71,120.45,5.27,-9.97,6.9,467.38,2051.68,31.72,374.3,52.99,894.15,7.06,0.0508,1.1468,,22.49,4.5
"E1-K-II-D","II","KL",61.02,24.41,60,53.34,31.32,41.29,-28.3,8.276,6.705,30.995,0.841,0.673,0.933,6.86,171.6,135.06,30.67,30.78,31.62,38.98,9.63,9.63,370.36,-290.23,660.59,84.62,55.72,24.42,30.06,0.1,10.49,2.92,18.69,190.0066666667,49.18,0.96,0.04,51.42,1405,27.33,0.57,1.4,0.15,231,1528,39,2.84,0.2,118.19,14.43,23.37,1.62,125.21,5,-8.4,7,455.56,1978.18,31.61,372.96,47.26,841.98,7.89,0.054,1.2098,,13.89,4.5
"E1-K-II-E","II","KL",60.85,24.34,60,35.97,24.34,32.32,-0.01,5.446,6.688,22.357,0.621,0.616,0.872,8.24,143.62,169.02,34.44,30.63,25.14,42.83,37.38,44.18,,,,70.31,,,,,10.69,2.39,32.51,146.85,48.91,0.97,0.03,50.47,1528.28,30.28,0.55,1.28,0.15,227,1415,37,1.71,0.1,72.45,17.85,22.73,1.27,94.64,4.33,-8.74,6.9,510.85,2224.36,33.27,392.64,65.17,984.08,6.03,0.0481,1.1324,,33.25,4.5
"E1-K-III-A","III","KL",60.9,24.36,60,51.83,25.57,50.67,-4.95,3.53,2.303,31.992,1.147,0.808,0.494,15.48,331.07,237.36,34.83,39.34,23.29,25.81,44.59,46.98,420.28,-129.15,549.43,67.85,55.53,24.71,29.58,0.07,19.96,5.96,29.26,172.5533333333,49.78,0.99,0.03,50.43,1716.55,34.04,0.54,1.32,0.15,217,1548,38,1.93,0.23,119.17,8.32,15.57,1.87,235.09,12.8,-13.12,6.9,218.45,987.1,12.34,145.65,44.45,502.44,3.28,0.009,0.7804,0.0006032795,17.58,2.6
"E1-K-III-B","III","KL",60.72,24.29,60,50.89,25.01,50.86,-2.95,4.989,4.567,38.155,1.894,1.078,1.179,11.3,495.85,125.1,31.3,39.39,33.72,42.86,,,324.76,-375.82,700.58,107.94,55.1,24.61,29.25,0.07,16.45,6.21,31.9,243.9066666667,49.92,0.99,0.03,50.5,1782.86,35.3,0.54,1.27,0.15,218,1520,35,1.75,0.18,88.43,9.56,18.72,1.96,218.38,12.19,-10.46,6.8,196.11,882.19,11.88,140.16,45.3,449.64,3.09,0.0051,0.7933,0.0006365573,19.55,2.6
"E1-K-III-C","III","KL",60.72,24.29,60,51.11,23.68,53.68,2.52,5.101,4.295,39.997,1.777,0.999,0.957,12.85,372.33,309.92,19.39,19.81,35.87,43.61,6.86,28.27,397.96,-102.27,500.23,54.42,50.14,22.2,26.83,0.08,17.48,12.26,25.35,247.0233333333,50.04,0.97,0.03,51.41,1787.14,34.76,0.54,1.31,0.15,213,1465,35,2.02,0.25,115.53,8.06,16.73,2.08,246.61,13.46,-16.28,6.9,264.08,1195.39,13.63,160.81,65.04,635.38,2.47,0.0043,0.7098,0.0005958006,25.7,2.6
"E1-K-III-D","III","KL",60.7,24.28,60,51.34,23.62,53.99,2.72,4.552,5.125,38.3,2.398,1.243,1.291,14.97,449.26,320.54,26.12,30.17,40.95,40.1,,,286.51,-241.67,528.18,67.23,55.1,24.93,28.94,0.05,17.76,5.45,19.46,305.6166666667,50.01,0.97,0.03,51.35,1724.48,33.58,0.54,1.3,0.15,208,1541,35,2.2,0.24,142.79,9.05,14.88,1.64,239.81,11.59,-11.62,6.9,236.58,1060.46,11.49,135.62,57.68,567.63,2.35,0.0032,0.6983,0.0006287753,31.1,2.6
"E1-K-III-E","III","KL",60.96,24.38,60,51.53,24.58,52.3,-0.81,4.572,3.129,44.173,1.787,0.847,0.883,14.79,366.47,446.13,23.62,30.64,24.71,32.87,14.19,44.72,398.2,-191.53,589.74,66.68,54.06,25.39,27.46,0.06,19.06,5.15,27.19,192.83,48.99,0.96,0.03,50.89,1633,32.09,0.53,1.26,0.15,251,1549,54,2.36,0.24,83.62,10,26.55,2.66,238.22,11.04,-13.17,6.9,303.88,1368.58,14.51,171.21,79.55,735.86,2.15,0.0029,0.6755,0.0005050515,25.61,2.6
"E1-K-IV-B","IV","KL",60.71,24.28,60,48.42,22.2,54.15,8.57,86.35,95.48,254.23,1.08,-0.141,0.06,,,,19.45,23.33,15.8,18.14,23.77,55.96,,,,,,,,,10.43,5.77,26.59,122.2466666667,46.25,0.95,0.03,48.579,1594.828,32.829,0.52,1.32,0.17,225,1485,38.5,3.65,0.26,139.91,14.29,26.09,1.83,2628.5008880648,104.4516520725,,6.9,,,,,,,,,,,10.12,
"E1-K-IV-C","IV","KL",60.49,24.2,60,46.1,22.72,50.72,6.11,118.23,169.77,251.18,1.09,-0.579,0.113,,,,21.61,27.55,23.29,26.15,20.06,58.95,,,,,,,,,8.99,6.9,33.05,120.6333333333,46.06,0.97,0.03,47.678,1588.103,33.309,0.6,1.31,0.15,195.5,1412,37,2.54,0.22,131.67,11.74,19.29,1.64,3125.0169993182,131.8218201395,,6.9,,,,,,,,,,,9.93,
"E1-K-IV-D","IV","KL",60.88,24.35,60,42.72,22.53,47.26,7.48,134.44,85.53,342.67,1.14,-0.44,0.092,,,,31.59,47.49,21.96,26.19,18.67,52.93,,,,,,,,,11.31,7.48,36.64,128.8833333333,46.05,0.97,0.03,47.279,1561.017,33.017,0.52,1.35,0.16,204,1450,37.5,2.74,0.23,130.24,11.74,21.05,1.79,3609.3660209764,138.062048908,,7,,,,,,,,,,,8.81,
