"Code","Harvest","Litter","Initial (start) FM","Initial (start) DM","Start water content","FM at harvest","DM at harvest","Water content at harvest","Mass loss","Cellulase","Chitinase","Phosphatase","Protease","Peroxydase","Phenoloxidase","Amino acid concentration","Gross protein depolymerization","Gross amino acid immobilization","Gross N mineralization","Gross NH4 immobilization","Gross nitrification","Gross NO3 immobilization","Gross P mineralization","Gross P immobilization","Glucan Gross Depolymerisation","Glucan Net Depolymerisation","Glucose Gross Consumption","Glucose concentration","Acid detergent fibre","Cellulose","Lignin not ash corrected","Starch","NH4 concentration","NO3 concentration","PO4 concentration","Respiration","C_lit","N_lit","P_lit","C:N_lit","C:P_lit","N:P_lit","K litter","CA litter","MG litter","FE litter","MN litter","ZN litter","C_mic","N_ mic","P_mic","C:N_mic","C:Pmic","N:Pmic","DOC","TN","DON","pH H2O","total PFLA content","identified PLFA content ","approx. Fungal Biomass","main fungal marker 18:2(9,12)c","Sum of gram positiv markers","Sum of general bacterial markers incl. gram+","ratioF/B 1","ratioF/B 2","ratioF/B 3","acc_resp","F2BqPCR","F2Bprot"
"E1-K-IV-E","IV","KL",60.38,24.15,60,48.82,21.84,55.27,9.59,106.49,92.15,399.49,1.29,-0.506,0.086,,,,17.65,27.24,,,37.66,79.56,,,,,,,,,11,6.64,26.46,119.9,45.79,0.95,0.03,48.008,1606.667,33.467,0.53,1.31,0.16,193,1490.5,37,2.41,0.2,122.87,11.88,19.65,1.65,2864.2523826232,110.3979991411,,7,,,,,,,,,,,17.06,
"E1-K-IV-F","IV","KL",60.53,24.21,60,41.81,21.81,47.84,9.93,88.36,101.97,292.83,1.03,-0.338,0.075,,,,10.45,16.35,17.35,18.57,20.51,76.24,,,,,,,,,10.57,8.99,42.41,111.0266666667,46.12,0.97,0.03,47.622,1707.963,35.865,0.55,1.36,0.16,183,1405,38.5,2.86,0.23,98.02,12.24,29.14,2.38,2601.6416856393,107.682859616,,7,,,,,,,,,,,10.96,
"E1-O-I-A","I","OS",62.12,24.85,60,42.92,24.6,42.69,1,0.157,0.087,1.581,0.195,0.457,0.378,9.28,423.08,560.98,17.56,7.66,9.94,6.2,62.8,56.61,924.7,-986.07,1910.77,296.32,,,,,6.13,2.29,23.72,293.9566666667,48.68,0.83,0.05,58.56,936.15,15.99,0.21,1.67,0.2,442,765,40,1.99,0.11,111.75,18.06,17.36,0.96,204.78,6.4,-2.02,6.5,,,,,,,,,,,32.31,4.9
"E1-O-I-B","I","OS",62.38,24.95,60,37.4,24.7,33.95,1,0.119,0.085,0.945,0.1,0.576,0.355,10.32,278.91,656.66,13.02,10.85,14.1,11.44,111.58,128.93,1149.12,-1241.73,2390.85,290.2,,,,,5.92,1.78,42.64,291.1333333333,48.61,0.84,0.06,58.15,883.82,15.2,0.21,1.59,0.2,458,757,36,0.96,0.12,103.72,8.17,9.02,1.1,194.85,5.9,-1.8,6.5,,,,,,,,,,,40.45,4.9
"E1-O-I-C","I","OS",62.17,24.87,60,39.42,24.62,37.55,1,0.218,0.12,1.085,0.135,0.921,0.485,7.13,373.6,621.69,11.36,8.62,6.77,7.03,108.76,142.68,1259.72,-811.96,2071.68,182.66,,,,,6.55,2.17,34.18,260.7,47.23,0.79,0.05,60.04,870.51,14.5,0.21,1.64,0.2,445,794,34,1.44,0.11,109.08,12.9,12.85,1,200.97,5.93,-2.79,6.5,,,,,,,,,,,17.83,4.9
"E1-O-I-D","I","OS",60.85,24.34,60,36.14,24.1,33.33,1,0.066,0.093,1.051,0.155,0.735,0.189,10.32,487.02,481.74,9.64,8.17,14.51,10.52,74.51,104.1,862.26,-1890.62,2752.88,468.52,,,,,6.21,2.04,35.73,239.1033333333,49.03,0.8,0.05,61.48,942.88,15.34,0.21,1.62,0.2,495,799,35,1.59,0.12,115.57,13.54,13.46,0.99,190.92,5.86,-2.38,6.4,,,,,,,,,,,17.73,4.9
"E1-O-I-E","I","OS",62.38,24.95,60,36.18,24.7,31.72,1,0.11,0.065,1.031,0.105,0.355,0.422,11,833.8,791.43,19.89,13.07,30.66,31.92,65.46,87.8,2741.67,-1028.35,3770.02,764.35,,,,,8.7,2.19,51.39,267.1533333333,47.18,0.77,0.05,61.61,890.09,14.45,0.2,1.65,0.19,426,765,35,0.47,0.15,81.74,3.1,5.58,1.8,239.01,7.4,-3.49,6.3,,,,,,,,,,,20.47,4.9
"E1-O-II-A","II","OS",60.88,24.35,60,42.19,26.51,37.16,-8.86,14.379,7.151,30.65,1.68,0.886,0.943,10.48,141.69,416.48,21.47,20.79,39.9,39.69,48.94,40.72,578.82,-333.92,912.73,81.13,46.97,25.08,20.85,0.2,7.89,1.95,116.22,110.4766666667,48.52,0.78,0.05,61.96,915.38,14.77,0.2,1.66,0.2,461,761,35,2.61,0.18,114.22,14.86,22.24,1.5,163.08,6.54,-3.3,7.1,371.98,1586.08,21.91,258.55,50.99,664.75,5.07,0.0497,1.2545,,21.68,5.8
"E1-O-II-B","II","OS",61.87,24.75,60,49.93,24.59,50.75,0.62,11.598,6.661,37.528,1.885,0.728,0.794,10.06,79.67,199.06,44.91,54.36,59.36,60.71,73.2,92.7,415.96,-127.58,543.55,50.13,48.38,23.65,23.65,0.17,10.3,2.69,134.02,132.8433333333,49.28,0.82,0.05,60.35,947.76,15.7,0.2,1.72,0.2,462,769,40,2.8,0.22,151.16,12.8,18.1,1.41,242.14,9.62,-3.37,7,466.66,2012.59,27.75,327.43,77.08,832.52,4.25,0.0747,1.2749,,17.31,5.8
"E1-O-II-C","II","OS",62.14,24.86,60,49.88,25.38,49.12,-2.11,10.951,5.93,31.813,1.591,0.894,0.91,9.71,248.59,430,9.81,7.91,41.46,63.11,73.81,158.42,,-356.1,339.55,56.21,34.1,23.33,10,0.17,10.16,2.8,117.84,180.29,48.05,0.81,0.06,59.51,858.04,14.42,0.2,1.66,0.21,537,787,41,2.91,0.2,176.73,14.22,16.16,1.14,201.11,8.69,-4.27,7,380.64,1679.48,25.56,301.55,57.15,692.42,5.28,0.0663,1.293,,14.91,5.8
"E1-O-II-D","II","OS",62.06,24.82,60,47.36,25.8,45.53,-3.93,8.695,5.668,31.497,2.509,1.077,1.455,8.03,101.85,308.5,15.92,16.05,32.94,41.21,58.17,117.18,509.03,-312.13,821.16,62.52,36.7,20.34,15.54,,9.73,2.17,110.33,138.7466666667,47.31,0.78,0.05,60.92,892.55,14.65,0.2,1.71,0.21,580,763,43,2.96,0.2,138.19,14.52,20.93,1.44,200.82,8.22,-3.68,7.1,417.36,1833.53,27.48,324.31,71.35,759.98,4.55,0.0955,1.273,,26.22,5.8
"E1-O-II-E","II","OS",61.09,24.44,60,42.93,25.25,41.19,-3.32,6.495,5.542,24.931,1.507,0.604,0.763,8.64,242.12,324.13,17.97,17.2,37.5,45.94,42.68,40.72,522.81,-215.74,738.55,65.8,,,,0.17,8.61,2.33,127.65,0,47.93,0.79,0.05,60.51,958.5,15.84,0.2,1.59,0.2,466,758,41,2.97,0.19,147.23,15.91,19.75,1.24,166.3,7.26,-3.68,6.9,449.72,1929.92,29.51,348.19,74.85,794.09,4.65,0.0412,1.2826,,15.51,5.8
"E1-O-III-A","III","OS",61.05,24.42,60,51.7,23.52,54.51,3.69,2.986,1.805,29.868,1.825,0.741,0.567,5.66,303.13,192.3,5.66,5.12,28.6,28.79,35.57,1.44,407.48,-113.5,520.98,28.06,44.12,23.86,19.28,0.01,9.76,3.47,138.49,92.07,47.55,0.82,0.05,58.26,897.17,15.4,0.21,1.71,0.21,507,794,36,3.22,0.37,166.61,8.64,18.72,2.17,157.96,4.66,-8.57,6.8,186.25,822.59,13.07,154.17,46.75,372.4,3.3,0.0138,1.0325,0.0006497823,15.79,3.3
"E1-O-III-B","III","OS",61.95,24.78,60,51.96,24.62,52.61,0.64,2.626,1.95,29.987,1.809,0.682,0.543,5.34,232.21,236.9,5.88,3.49,13.46,15.18,37.6,14.43,214.1,-64.59,278.7,23.29,31.84,19.21,11.92,0.15,9.46,2.87,111.65,151.69,47.78,0.78,0.05,60.91,901.51,14.8,0.2,1.72,0.21,460,801,38,3.12,0.31,170.55,10.18,17.72,1.74,138.13,4.91,-7.42,6.7,188.44,851.74,11.61,137.01,58.35,425.08,2.35,0.0096,0.857,0.0007140354,15.57,3.3
"E1-O-III-C","III","OS",61.52,24.61,60,52.24,25.46,51.26,-3.47,2.418,1.834,31.249,1.968,0.736,0.589,6.09,219.71,176.5,8.44,10.92,19.91,26.22,44.68,37.58,328.05,-53.15,381.2,22.36,41.46,19.6,20.93,0.12,11.13,3.23,91.95,126.9766666667,48.37,0.85,0.06,56.7,863.75,15.23,0.37,1.48,0.18,328,1490,39,2.4,0.3,139.8,8.05,16.55,2.06,140.65,5.29,-9.08,6.8,227.77,1021.1,16.35,192.97,55.74,478.52,3.46,0.0038,0.9831,0.0006968174,31.08,3.3
"E1-O-III-D","III","OS",60.86,24.34,60,51.86,24.56,52.64,-0.91,3.176,2.496,31.178,2.415,1.066,0.853,6.08,277.15,292.35,7.37,5.47,14.74,11.46,31.42,1.44,160.43,-35.1,195.53,15.43,36.44,17.5,18.13,,11.04,3.34,102.63,100.5033333333,48.43,0.83,0.05,58.48,968.6,16.56,0.22,1.69,0.21,484,756,37,2.51,0.3,150.52,8.45,16.12,1.91,157.53,5.5,-8.88,6.8,298.59,1339.02,17.41,205.48,78.4,659.58,2.62,0.0031,0.8919,0.0007120291,23.83,3.3
"E1-O-III-E","III","OS",61.86,24.75,60,52.55,25.14,52.16,-1.59,4.179,2.642,31.853,1.649,0.846,0.683,5.7,275.5,119.84,10.52,12.11,,,31.2,1.44,231.68,-49.22,280.9,20.36,43.14,21.09,21.09,0.15,10.85,4.11,113.54,120.78,46.68,0.86,0.05,54.02,972.5,18,0.21,1.76,0.2,448,770,37,2.46,0.27,150.27,9.08,15.84,1.74,160.11,7.21,-7.75,6.8,266.77,1190.98,15.24,179.83,70.84,583.07,2.54,0.0078,0.8877,0.0006493087,18.39,3.3
"E1-O-IV-B","IV","OS",61.12,24.45,60,46.76,22.91,51,6.29,84.77,77.94,277.07,1.11,-0.211,0.063,,,,10.6,12.67,6.35,2.31,25.81,1.58,,,,,,,,,12.36,5.23,145.18,86.6433333333,44.9,0.79,0.05,56.521,907.071,16.048,0.2,1.75,0.22,463,790,37,2.44,0.17,113.82,14.02,21.44,1.53,2066.4175075898,79.8960372299,,7,,,,,,,,,,,8.16,
"E1-O-IV-C","IV","OS",60.4,24.16,60,49.44,22.37,54.75,7.4,104.2,104.86,319.21,1.32,-0.771,0.138,,,,14.35,15.35,16.93,17.62,44,86.45,,,,,,,,,14.13,5.28,132.44,151.25,44.92,0.77,0.05,58.237,945.579,16.237,0.2,1.69,0.21,424,734,35.5,2.5,0.19,156.58,13.47,15.94,1.18,2232.5888674025,81.2925439968,,7,,,,,,,,,,,12.4,
"E1-O-IV-D","IV","OS",60.7,24.28,60,47.6,22.62,52.49,6.86,158.25,102.14,335.3,1.4,-0.489,0.083,,,,9.47,10.88,20.8,21.45,18.64,26.87,,,,,,,,,11.92,5.36,137.81,101.31,44.92,0.79,0.05,57.213,898.3,15.701,0.2,1.74,0.22,434,791,39.5,2.73,0.19,122.01,14.6,22.37,1.53,2068.4861379554,74.445854558,,7,,,,,,,,,,,11.64,
"E1-O-IV-E","IV","OS",60.03,24.01,60,48.67,23.01,52.73,4.19,150.91,119.16,335.42,1.61,-0.427,0.082,,,,11.54,13.77,14.18,14.88,26.71,15.78,,,,,,,,,8.54,3.93,101.48,126.7566666667,44.69,0.76,0.05,59.072,950.745,16.095,0.2,1.74,0.21,403,749.5,38,2.54,0.2,169.38,12.65,15,1.19,2038.5755865822,69.4427270033,,6.9,,,,,,,,,,,10.64,
"E1-O-IV-F","IV","OS",61.65,24.66,60,49.35,23.56,52.27,4.48,119.2,125.43,329.28,1.14,-2.598,0.319,,,,13.62,13.84,13.81,15.11,16.79,1.58,,,,,,,,,13.08,5.4,137.72,134.8966666667,44.91,0.73,0.04,61.882,1009.101,16.307,0.2,1.69,0.21,308,734.5,38,2.98,0.22,96.73,13.71,30.79,2.25,2144.2534050016,80.1465546735,,7,,,,,,,,,,,11.9,
"E1-S-I-A","I","SW",62.12,24.85,60,38.04,24.6,35.33,1,0.891,0.365,2.451,0.102,1.113,0.907,38.54,550.98,498.84,28.01,20.01,14.62,24.81,143.22,237.42,789.24,-1440.52,2229.76,1031.21,,,,,12.93,2.59,73.75,583.7333333333,49.6,1.14,0.07,43.6,679.38,15.58,0.56,1.21,0.15,207,2215,41,1.16,0.3,108.12,3.93,10.48,2.67,608.84,15.24,-0.28,6.3,,,,,,,,,,,85.4,12.1
"E1-S-I-B","I","SW",61.55,24.62,60,40.81,24.37,40.27,1,1.272,0.587,1.683,0.164,0.913,0.828,32.42,468.35,720.95,35.62,22.53,32.29,47.92,234.24,359.93,716.36,-1204.09,1920.45,805.12,,,,,11.17,3.08,39.2,404.7266666667,48.16,1.23,0.07,39.13,692.88,17.71,0.55,1.26,0.15,192,2146,45,2.31,0.27,108.83,8.47,20.68,2.44,630.7,15.15,0.9,6.5,,,,,,,,,,,61.12,12.1
"E1-S-I-C","I","SW",61.25,24.5,60,42.82,24.26,43.36,1,1.462,0.587,2.221,0.184,0.98,0.915,28.7,454.26,434.47,24.29,24.03,15.99,20.75,211.48,349.7,,-2256.62,1944.12,786.43,,,,,11.45,3.43,41.77,759.2566666667,49.81,1.16,0.07,42.82,711.5,16.61,0.55,1.21,0.15,193,2131,43,1.94,0.31,155.42,6.27,12.26,1.96,738.34,18.25,3.37,6.1,,,,,,,,,,,115.25,12.1
"E1-S-I-D","I","SW",61.23,24.49,60,37.43,24.25,35.21,1,1.205,0.533,1.813,0.184,0.814,0.987,34.12,77.23,879.65,37.47,25.18,25.07,31.78,818.44,927.97,179.84,-47.2,227.04,914.71,,,,,12.51,3.05,54.62,559.3866666667,48.27,1.15,0.07,41.96,684.68,16.32,0.53,1.26,0.15,189,2241,42,0.99,0.32,106.09,3.09,9.07,2.93,632.04,16.33,0.77,6.4,,,,,,,,,,,278.86,12.1
"E1-S-I-E","I","SW",61.33,24.53,60,28.74,24.29,15.48,1,0.374,0.068,1.883,0.072,0,1.307,56.06,510.27,83.69,85.07,101.96,22.2,40.63,249,378.97,44.72,-2073.83,2118.55,2377.64,,,,,17.83,3.44,180.38,653.8766666667,48.65,1.18,0.07,41.4,726.12,17.54,0.55,1.19,0.15,180,1952,41,,0.43,235.95,,,1.37,580.64,16.81,-4.47,6.6,,,,,,,,,,,350.36,12.1
"E1-S-II-A","II","SW",61.47,24.59,60,47.58,25.76,45.85,-4.78,27.897,17.437,34.518,2.136,2.076,2.032,15.07,196.22,468.63,79.58,105.5,63.01,75.87,110.51,157.49,1102.14,-682.09,1784.23,171.57,35.49,19.29,15.4,0.08,21.34,4.43,137.98,135.0433333333,48.44,1.21,0.07,40.18,682.18,16.98,0.55,1.33,0.16,208,2259,44,5.7,0.27,152.92,20.74,36.47,1.76,515.1,20.72,-5.05,7.1,464.41,1988.84,21.42,252.77,70.65,1024.74,3.58,0.0522,0.7888,,22.66,5.6
"E1-S-II-B","II","SW",61.11,24.44,60,49.18,24.94,49.29,-2.04,21.708,18.165,38.298,2.308,1.633,1.867,12.95,213.72,416.52,76.28,88.2,93.55,125.44,93.78,103.31,636.67,-281.81,918.48,77.83,36.9,20.04,16.04,0.09,18.74,3.76,123.57,0,49.04,1.2,0.07,40.96,710.65,17.35,0.56,1.32,0.16,187,2252,48,5.09,0.28,167.75,17.98,29.68,1.65,547.8,20.65,-1.85,7,473.22,1985.99,27.04,319.07,45.5,887.19,7.01,0.0477,1.0143,,13.8,5.6
"E1-S-II-C","II","SW",61.45,24.58,60,48.24,23.95,50.36,2.57,19.299,15.516,40.102,2.083,1.621,1.969,12.85,137.95,382.82,64.52,70.94,93.34,124.81,69.08,44.37,1309.71,-215.31,1525.02,87.25,34.8,17.17,16.85,,19.25,4.55,162.34,149.4533333333,48.98,1.23,0.07,39.69,680.28,17.14,0.56,1.31,0.15,207,2320,47,5.06,0.28,147.48,18.31,33.46,1.83,619.71,23.51,-0.29,7,554.91,2347.68,28.34,334.46,75.21,1175.75,4.45,0.0549,0.8477,,19.82,5.6
"E1-S-II-D","II","SW",61.7,24.68,60,43.89,24.9,43.26,-0.91,16.969,12.556,34.351,1.007,2.336,1.424,13.63,151.13,251.66,68.64,87.73,53.38,62.32,78.92,86.06,805.22,-562.47,1367.69,169.75,37.07,21.48,14.77,0.12,15.56,3.7,207.19,197.3033333333,49.02,1.23,0.07,39.87,731.64,18.35,0.55,1.29,0.17,227,2177,48,5.15,0.22,115.31,23.69,43.4,1.83,526.93,19.83,0.58,7,623.46,2664.76,32.79,386.98,93.48,1352.99,4.14,0.0319,0.8163,,28.93,5.6
"E1-S-II-E","II","SW",61.12,24.45,60,43.62,24.66,43.47,-0.85,11.309,12.436,28.738,1.344,0.602,0.872,14.62,249.89,373.98,31.99,34.71,39.78,44.06,,,2234.52,-704.89,2939.41,199.84,38.99,20.69,17.43,,17.45,4.33,154.92,170.2433333333,48.29,1.18,0.07,40.87,670.69,16.41,0.54,1.34,0.17,243,2347,59,3.54,0.35,136.54,10.15,25.29,2.49,440.85,17.33,-4.45,6.9,551.54,2366.49,33.95,400.62,49.59,1111.07,8.08,0.0461,0.9616,,27.28,5.6
"E1-S-III-A","III","SW",61.92,24.77,60,52.84,22.71,57.01,8.29,10.911,6.365,39.312,1.994,2.607,2.527,21.16,674.2,472.25,,,62.66,79.57,56.26,53,267.58,-189.59,457.17,54.35,30.32,17.59,12.05,,42.77,7.48,119.71,244.5666666667,49.17,1.08,0.07,45.49,712.61,15.67,0.55,1.35,0.16,202,2354,46,7.15,0.6,257.17,11.9,27.2,2.29,427.47,18.1,-32.15,6.9,360.84,1634.95,23.03,271.78,55.89,813.13,4.86,0.0076,0.821,0.0010152748,16.69,4.4
"E1-S-III-B","III","SW",61.35,24.54,60,51.99,23.51,54.79,4.21,9.89,6.941,38.208,2.09,2.152,2.282,11.84,387.06,216.99,34.82,41.57,48.63,57.33,68.33,6.27,282.39,-163.49,445.88,38.29,32.81,17.2,14.87,0.14,29.11,6.88,128.48,311.1166666667,49.16,1.26,0.07,39.11,664.32,16.99,0.59,1.27,0.18,214,2473,48,5.82,0.54,236.93,10.81,24.01,2.22,390.11,15.38,-20.61,6.8,278.51,1260.06,14.06,165.93,72.92,684.96,2.28,0.007,0.6534,0.0009217862,11.54,4.4
"E1-S-III-C","III","SW",61.05,24.42,60,50.72,23.82,53.04,2.46,7.63,7.039,35.325,2.208,2.499,2.426,13.93,781.65,410.67,53.86,71.86,54.01,65.8,79.24,86.81,290.05,-150.16,440.21,35.68,32.83,18.11,13.99,0.05,26.28,7.32,104.98,267.08,49.35,1.32,0.07,37.3,759.23,20.35,0.52,1.27,0.16,186,2098,45,5.62,0.53,237.76,10.51,23.11,2.2,320.17,12.05,-21.55,6.9,96.48,438.44,6.23,73.55,19.67,217.68,3.74,0.0073,0.8068,0.0009994634,14.46,4.4
"E1-S-III-D","III","SW",61.25,24.5,60,51.75,23.3,54.98,4.9,8.334,8.255,45.358,1.761,2.196,1.709,17.61,408.3,372.61,50.59,64.36,45.89,45.7,70.74,90.25,284.01,-169.82,453.82,42.41,35.48,17.65,17.04,0.07,32.34,7.15,106.62,429.6233333333,49.24,1.25,0.07,39.39,703.43,17.86,0.55,1.29,0.17,206,2267,44,6.57,0.61,263.8,10.76,24.39,2.27,396.5,14.22,-25.27,6.8,,,,,,,,,,0.0009726131,,4.4
"E1-S-III-E","III","SW",61.12,24.45,60,50.98,23,54.88,5.92,8.58,6.454,33.679,1.36,2.072,2.321,17.89,278.13,424.45,68.29,89.82,55.03,60.88,81.87,111.72,977.07,-437.75,1414.82,110.28,43.57,19.97,22.63,0.07,34.15,7.25,144.59,316.14,49.27,1.32,0.07,37.3,724.56,19.43,0.55,1.4,0.17,209,2204,44,4.29,0.47,195.21,9.08,21.35,2.35,438.73,15.12,-26.29,6.9,382.35,1749.67,16.1,190.04,62.94,957.23,3.02,0.008,0.6585,0.0008365614,,4.4
"E1-S-IV-B","IV","SW",60.45,24.18,60,36.39,22.44,38.34,7.2,233.54,103.2,235.22,1.01,-0.995,0.114,,,,15.44,21.28,23.06,24.9,54.12,70.82,,,,,,,,,32.56,11.45,136.89,389.29,44.75,1.19,0.07,37.542,658.088,17.529,0.59,1.39,0.18,192.5,2380,47.5,2.96,0.29,255.89,10.09,11.56,1.15,3615.5140161417,142.7262044995,,7.1,,,,,,,,,,,9.49,
"E1-S-IV-C","IV","SW",60.7,24.28,60,47.52,21.57,54.6,11.15,232.07,152.48,446.25,1.63,-1.215,0.164,,,,12,17.87,25.6,28.59,73.39,95.23,,,,,,,,,13.32,5.8,111.06,275.6966666667,45.54,1.23,0.07,37.145,619.592,16.68,0.57,1.4,0.18,203,2329,48.5,4.22,0.37,409.35,11.27,10.31,0.92,3972.981442034,134.8842644334,,7.2,,,,,,,,,,,11.47,
"E1-S-IV-D","IV","SW",60.59,24.24,60,47.04,21.8,53.66,10.05,320.03,147.91,332.19,1.18,-1.124,0.154,,,,19.03,20.36,,,40.94,87.77,,,,,,,,,14.59,6.1,147.02,277.9333333333,46.21,1.15,0.07,40.165,684.593,17.044,0.57,1.37,0.18,184.5,2305.5,45.5,5.22,0.39,351.55,13.37,14.85,1.11,4178.3228194413,147.593215037,,7.1,,,,,,,,,,,8.95,
"E1-S-IV-E","IV","SW",60.05,24.02,60,48.27,20.5,57.53,14.65,308.74,145.14,374.6,1.66,-0.956,0.164,,,,16.84,17.28,36.62,31.55,91.47,171.06,,,,,,,,,12.16,5.18,116.67,227.1133333333,45.99,1.28,0.07,36.056,657,18.221,0.59,1.4,0.18,190.5,2269,49.5,4.3,0.38,411.05,11.35,10.45,0.92,4485.7786055918,153.9368255995,,7.2,,,,,,,,,,,11.86,
"E1-S-IV-F","IV","SW",60.51,24.2,60,50.52,21.57,57.3,10.87,352.74,183.43,390.77,1.78,-1.104,0.333,,,,19.16,20.78,62.27,41.03,66.87,103.03,,,,,,,,,12.3,5.99,97.27,166.1366666667,46.19,1.29,0.08,35.914,603.725,16.81,0.58,1.42,0.18,219,2376.5,50,5.27,0.41,367.62,12.71,14.34,1.13,4094.1030400726,131.715860227,,7.1,,,,,,,,,,,11.37,
