"","","","Substrate","treatment","rep","NH4+ (µmol g-1 DW)","sqNH4+ (µmol g-1 DW)","NO3- (µmol g-1 DW)","sqNO3- (µmol g-1 DW)","NPOC (µmol g-1 DW)","sqNPOC (µmol g-1 DW)","TN (µmol g-1 DW)","sqTN (µmol g-1 DW)","C mic (µmol g-1 DW)","sqC mic (µmol g-1 DW)","N mic (µmol g-1 DW)","sqN mic (µmol g-1 DW)","","C/N mic","sqC/N mic","Exoglucan (pmol g-1 min-1)","sqExoglucan (pmol g-1 min-1)","Endochit (pmol g-1 min-1)","","sqEndochit (pmol g-1 min-1)","","Phosph (pmol g-1 min-1)","sqPhosph (pmol g-1 min-1)","Protease (nmol g-1 min-1)","sqProtease (nmol g-1 min-1)","phenoloxidase (µmol h-1 g-1 DW)","sqphenoloxidase (µmol h-1 g-1 DW)","peroxidase","sqperoxidase","Cellulase-act (µg gluc g-1 DW h-1)","sqCellulase-act (µg gluc g-1 DW h-1)","Protease-act (µg AS-N g-1 DW h-1)","sqProtease-act (µg AS-N g-1 DW h-1)","Bruttomineralisierung (µg NH4-N g-1 h-1)","sqBruttomineralisierung (µg NH4-N g-1 h-1)","Immobilisierung","sqImmobilisierung","Respiration","sqRespiration","Total bacteria(nmol %contr)","sqTotal bacteria(nmol %contr)","Gram+ bac","sqGram+ bac","Gram- bac","sqGram- bac","Fungi","sqFungi","0.751388889","sq0.751388888888889","Total bacteria(mol% in %kontr.)","sqTotal bacteria(mol% in %kontr.)","Gram+ bac","sqGram+ bac","Gram- bac","sqGram- bac","Fungi","sqFungi","0.751388889","sq0.751388888888889","APE13Cplfa","sqAPE13Cplfa","APE 13C total respiration","sqAPE 13C total respiration","Respired excess 13C (% of Microbial Biomass excess 13C)","sqRespired excess 13C (% of Microbial Biomass excess 13C)","Priming effect (% of control)"
"cg",NA,NA,NA,NA,NA,387.95641768,19.086110744,116.92500972,10.7334655992,109.70325236,10.47367282,110.30148572,10.501346716,121.09035388,10.98732844,129.14624828,11.336859302,NA,94.11556551,9.7000600866,46.49221096,6.7488195536,72.427644866,NA,8.4297604794,NA,94.433538552,9.7009358246,119.75355402,10.915693618,NA,NA,NA,NA,82.035775432,8.763211962,69.48597039,8.18192395275,131.64609964,10.71580432075,139.815706133333,11.7964281033333,111.64971372,10.4888348935,152.45109175,12.329941165,170.473537,12.991468495,141.98170855,11.914370095,146.92041945,12.119407355,129.3038558,11.36932643,109.5215236,10.46309427,126.2036525,11.208700095,99.989636025,9.997722561,101.18887544,10.0578835695,88.82014587,9.423371099,0.0855116085,0.292333404,0.4061814125,0.63128023525,304.33969565,17.33596512,8.75526178275
"ch",NA,NA,NA,NA,NA,33.123111348,5.6992263696,122.567076008,10.8022632816,123.289065242,11.0192492516,82.63572383,9.0618496498,93.384526928,9.618713062,147.903358274,12.0940284936,NA,63.081122844,7.9405169902,141.06948298,11.734656754,75.848082686,NA,8.6441136608,NA,124.61848392,11.161542652,81.713751122,8.9995438506,NA,NA,NA,NA,137.17888974,11.705909814,129.982501198,10.986281996,144.668685844,11.4756232804,161.4423231225,11.78168860475,89.7078595475,9.458114995,90.3545167066667,9.45679344166667,87.54355191,9.33444125,91.4832508366667,9.49192827966667,101.63630712,10.0227570896667,101.736252563333,10.0068565243333,98.2241038833333,9.90958990133333,94.67552378,9.71794994433333,99.6627316533333,9.98089477966667,112.5532454,10.6071414166667,112.4232162,10.5947575166667,0.0570906816666667,0.238045755,0.3085912095,0.55476153225,319.427256633333,17.70840845,-12.12763417375
"ck",NA,NA,NA,NA,NA,158.05196406,12.359292874,87.36748849,9.2957331744,114.17586706,10.680646634,117.53205642,10.835327512,86.450798736,9.2915092266,90.129105376,9.4858408152,NA,96.122128932,9.8034148074,160.46390644,12.529621454,101.08204066,NA,10.0363290074,NA,105.765131636,10.2813671708,140.64110216,11.819538664,NA,NA,NA,NA,104.957692664,10.2423894708,160.28216667,12.1776635216,182.50057448,13.335532812,109.709908254,9.7886029992,107.25042678,10.348887812,102.08262892,10.0503009495,93.111923865,9.4002986685,107.90925591,10.378501074,79.59946203,8.9163686565,78.59370478,8.865126109,99.8234842,9.9896973955,87.06195881,9.2316802615,107.62978456,10.3637982165,80.26292468,8.9464124355,79.997085595,8.9145414385,0.0359161225,0.188876008,0.3139967515,0.5598817415,481.43159915,21.8980496425,5.00011435325
"cl",NA,NA,NA,NA,NA,33.062795922,5.7049015366,135.040560326,11.4619513822,95.374414372,9.6879250022,90.14524404,9.456460285,99.89397455,9.980399124,122.11220608,11.03669896,NA,81.675731414,9.0366293648,88.30841033,9.337554113,72.096663508,NA,8.4322843492,NA,142.8245975,11.947556242,106.047110884,10.2477460076,NA,NA,NA,NA,162.60142912,12.722302298,41.16930602,6.2185754802,138.737438866667,11.7108820366667,32.9279450636667,5.15843420233333,111.526869825,10.5468879425,99.15796363,9.91041690033333,99.96073581,9.877212227,98.3158089733333,9.86857726533333,94.42402354,9.684253369,91.1626746266667,9.515514135,102.15717339,10.1024216636667,101.432794593333,9.98804910566667,101.918754633333,10.092990883,97.43206727,9.86731762166667,94.6725430333333,9.72873125433333,0.0418083566666667,0.204161129,0.36443388375,0.603522203,363.587264,18.9639961533333,8.81257947025
"gg",NA,NA,NA,NA,NA,118.44559371,10.2068590815,65.3431577,8.04191135125,106.08899109,10.29080367,74.47184164,8.6231509675,155.1792009,12.4442916725,135.766245425,11.6261451875,NA,114.71294995,10.705859545,109.719696305,10.35595157975,136.6414941875,NA,11.56728879375,NA,103.83245526,10.18169197375,110.313647275,10.4942013925,85.5513936575,9.208456903,82.80603044,9.07205039725,319.7239155,17.8774737175,157.6387572675,12.209077472,176.39379365,13.2416666725,212.43280725,14.45155185,248.359921433333,15.74603558,162.8521996,12.76135571,223.9366323,14.96451243,126.1655169,11.23234245,119.0088373,10.90911716,114.3911776,10.69538113,103.748162,10.18568417,144.0486411,12.00202654,80.04522441,8.946799674,76.82770735,8.765141605,73.06392527,8.54774387,1.054482822,1.02688014,10.9583075533333,3.30985868833333,296.678918866667,17.21415027,4.854155025
"gh",NA,NA,NA,NA,NA,42.968169644,6.54766037,99.17739069,9.9361369882,102.926129034,10.1252361446,79.858393772,8.919567228,149.29822073,12.1352600338,99.605363168,9.914059596,9.914059595,149.59794116,12.224910728,71.147834222,8.3552148266,42.485585866,42.48558587,6.4877531828,6.487753183,90.281395628,9.4855576186,100.509400726,9.9806895724,46.736651524,6.7213994104,52.615658598,7.1218324434,252.59180308,15.881198294,90.67049854,8.821090521,385.00911864,19.510539848,594.33977404,24.305592696,381.502247725,19.52893298,99.5562688733333,9.95139286666667,110.230852596667,10.4500055023333,94.5957053433333,9.69594126,94.7495613266667,9.72395626366667,95.9739055366667,9.781580245,101.575770053333,10.074480685,109.87192325,10.4423071793333,97.7135464266667,9.88438063466667,98.4804142366667,9.91554307433333,100.1701869,9.999654252,0.844243388,0.918798848,10.4212166975,3.22781639025,629.4135289,24.9453851333333,71.314447725
"gk",NA,NA,NA,NA,NA,96.260307494,9.1527699942,96.541151998,9.6244893464,106.186150222,10.2958782388,88.234696374,9.3766440608,118.2625378,10.869734702,86.053666402,9.2663789114,9.266378912,134.84029308,11.608338626,115.128422606,10.703592277,115.090202198,115.0902022,10.5589877592,10.55898776,103.33204607,10.1556438408,104.682173044,10.2228941724,112.20348938,10.5514876182,98.7423184,9.9204828972,255.32380394,15.972492464,110.710408402,10.4254468264,262.48637085,16.02629889,242.318548025,15.4185790225,264.989086975,16.27765286,110.60095731,10.4866592196667,92.3994914766667,9.44941255533333,124.044827766667,11.13354935,144.718875866667,12.0076699966667,132.781064,11.5046276433333,95.62305943,9.77529018533333,79.03689686,8.807155826,107.447567183333,10.3618868733333,122.4926554,11.0533655066667,113.6989217,10.6478928866667,1.13669284366667,1.064112106,12.6494104975,3.55084091325,315.286248133333,17.75585916,-12.5614331285
"gl",NA,NA,NA,NA,NA,41.22798398,6.3578704636,115.00250404,10.447120878,105.73552051,10.208894979,88.170238896,9.379796026,144.18655376,11.970713518,111.152820578,10.4422337082,10.44223371,127.73967172,11.282346282,81.182985822,8.7940801048,108.426533942,108.426534,10.3347183794,10.33471838,87.230858102,9.3366454608,157.776680322,12.3623141452,137.943279314,11.3035904544,104.82804535,9.9447430784,282.0247644,16.792570132,98.991192366,9.8517674352,165.091216044,12.658045638,220.37117536,14.778318992,353.0897575,18.7844923125,100.451143693333,9.985232541,101.38832443,10.0328797636667,101.3636274,10.0203640573333,104.41847589,10.165553718,97.49553244,9.844091166,99.0470941766667,9.950978039,99.2807064966667,9.94734049866667,100.543649386667,10.0262262106667,104.692118636667,10.2150383876667,98.8538697833333,9.932532726,0.73505215,0.857255118666667,10.6581338425,3.26438456625,534.575385533333,23.0919231933333,54.33418912
"mg",NA,NA,NA,NA,NA,119.637277498,10.7926037942,104.434995946,10.2144478476,107.207916098,10.3458500186,106.819861272,10.3298381852,110.2187225,10.4894290696,117.489837506,10.8189043568,NA,94.560860464,9.7137643332,128.164283788,11.2677017526,141.430643418,NA,11.8015460152,NA,111.449016606,10.5458684592,105.331941314,10.2591218438,134.09368845,11.4427413966,128.024842444,11.2459814756,167.81111848,12.946839564,111.083274368,10.5183140478,121.781972978,11.0058125816,99.988829348,9.9369724684,113.410375,10.648412225,133.67314295,11.53340112,127.45669495,11.276280485,138.246338,11.71755363,151.2457445,12.230819535,144.20899945,11.884165435,105.2406305,10.258679855,104.7754593,10.233376835,105.8525317,10.28775238,112.5787188,10.60414747,105.883187425,10.261398058,2.0908097115,1.444970197,3.71780254175,1.926616445,132.650873675,11.516152705,-8.8961606785
"mh",NA,NA,NA,NA,NA,89.392305802,9.362523984,101.997020736,10.0970984298,107.384245662,10.3264268732,91.124882394,9.5237064622,79.1097626625,8.833948949,80.43927831,8.85190910525,NA,101.1175649275,10.03946529675,164.843358652,12.658180642,121.36683342,NA,10.991900772,NA,98.978173572,9.938886575,106.19957009,10.3025886376,120.6013424,10.973979328,115.99331394,10.7606721328,180.14527548,13.403550278,228.18597748,14.954252172,153.35905286,12.329293698,327.409959375,18.0890715425,119.843022425,10.93771744,91.83204021,9.56199654333333,91.4327387833333,9.552902051,92.3139339433333,9.57636414633333,81.19927428,9.001869515,84.14031844,9.1645078,99.9206682033333,9.996021306,98.0188048733333,9.89661913533333,101.298470973333,10.0630530856667,91.2929312,9.53768745933333,94.9440949533333,9.72858276566667,1.33035599666667,1.05952811566667,2.69061459475,1.63958395625,130.7665237,11.39659288,2.86497035875
"mk",NA,NA,NA,NA,NA,138.09538814,11.734165008,91.704719986,9.5737012314,127.12279876,11.265790512,136.92061906,11.690452974,89.086631104,9.4323208844,86.33037501,9.2837566834,NA,103.41917246,10.168877796,146.522279188,11.630696082,163.365942174,NA,12.4466965956,NA,101.925141752,10.0790765234,93.81584996,9.6065914084,58.646012204,7.4996599416,74.604336346,8.5529109782,148.63722672,12.190162426,118.354637562,10.7369549122,187.18762718,13.669436954,126.78230054,11.12365076,107.31598602,10.353865138,144.00811865,11.946504985,162.01243385,12.596342055,134.42841195,11.573476645,89.324643955,9.420260878,84.22560366,9.148913609,107.65275345,10.373809895,119.35103135,10.899169085,101.624732115,10.07938736,67.643368985,8.224501084,63.780174245,7.986237464,1.509129435,1.227832045,3.433896917,1.851799229,110.6723194775,10.48605698275,-12.1561777975
"ml",NA,NA,NA,NA,NA,95.290950484,9.6914548454,98.163541156,9.7621876428,109.680388484,10.4635734064,104.14229324,10.2019123388,69.440025818,8.2891152696,67.800813156,8.1902452358,NA,102.32062928,10.115179916,152.21392544,12.24686717,89.198993974,NA,9.2794972298,NA,107.790216786,10.368736697,94.63693108,9.7191869526,103.810036096,10.1782158712,97.351298272,9.8463527946,165.57631058,12.83667176,109.2841874075,10.39643774025,89.288627335,9.283207794,58.10540181,7.362381478,182.337244225,13.466602415,126.391835333333,11.058716801,135.313465683333,11.390462062,120.569736046667,10.8150083496667,116.04113715,10.4824673386667,115.10433011,10.497671278,104.488598233333,10.2216957133333,109.086683726667,10.4252624026667,100.90312563,10.0427903586667,92.8138691233333,9.60728140566667,93.8586498633333,9.68193217133333,1.50267308833333,1.224294817,0.87226887675,0.9327077025,57.03231983,7.54806585233333,74.049943675
"pg",NA,NA,NA,NA,NA,164.94819218,12.82397979,100.104923844,9.338238464,132.98122216,11.52178779,98.303535594,9.9066437684,118.03371546,10.852521114,137.34998102,11.698816914,NA,85.985798358,9.2713534926,103.019638336,10.0919697382,174.479449384,NA,12.978706166,NA,90.325525824,9.503061286,93.14226632,9.6443976718,107.53674211,10.3322360344,107.574132466,10.349099486,122.8709205,11.071932124,126.37134279,11.1149711122,73.461363958,8.5419623708,102.611643344,10.093851452,141.729267825,11.90069001,93.5153263666667,9.64842842466667,79.52228441,8.89196154933333,101.102484053333,10.0355245013333,106.92632202,10.330923205,109.09654173,10.4365172793333,91.48535032,9.564578709,78.3234654433333,8.84983120166667,98.59274089,9.92877191633333,106.827081363333,10.3277211286667,107.925290603333,10.3799264546667,1.123998415,1.05966072633333,8.93978745275,2.9868627555,176.869001466667,13.2972844866667,28.718696195
"ph",NA,NA,NA,NA,NA,294.6316699,16.985194534,203.7851568,13.66532516,138.01610426,11.673841746,141.66118278,11.869079304,96.134617086,9.6689145196,93.25090668,9.5356876114,NA,100.871746744,10.0365265156,82.087435964,9.0425001876,123.850724274,NA,11.089412799,NA,95.346184894,9.7599106508,90.099221292,9.4733789486,106.200240938,10.0583442014,98.631127368,9.7459095188,80.772961998,8.9560003042,64.6599116475,7.844928292,75.497004585,8.57524779575,86.1795333366667,9.23143340233333,153.4086115,12.3480536533333,93.8808406966667,9.63386195,96.89079802,9.805319341,91.7040188,9.50682662633333,103.12774168,10.1000071196667,100.74450095,9.96739417733333,99.41008193,9.96695563166667,101.481860483333,10.0590773436667,97.7188774366667,9.88462235966667,111.290415266667,10.5438232666667,106.87735867,10.3297901173333,1.39901318166667,1.182287173,11.3867796166667,3.36531688566667,228.4568853,15.0095312133333,35.7943498176667
"pk",NA,NA,NA,NA,NA,172.56833036,13.135397758,74.559345026,8.4400531496,134.71166532,11.6008821,130.98158364,11.439742902,109.442916136,10.438619817,109.867128288,10.4638288966,NA,97.256150918,9.8602493028,92.445788914,9.543409837,95.011556382,NA,9.7084682304,NA,97.517511006,9.8614936312,91.657950188,9.5685786032,102.899250168,10.0875827782,102.075418872,10.075907612,88.797806482,9.3770800734,91.123919774,9.5331896966,104.71581395,10.162917472,89.1923290433333,9.24442835766667,135.990134875,11.65572002,99.8790991966667,9.961563813,92.41603489,9.460347005,104.844553023333,10.2363513223333,138.005690466667,11.74549872,132.583758766667,11.51247202,97.0733658233333,9.85037546133333,88.6841853533333,9.35272853533333,102.54796442,10.1206065376667,133.189134566667,11.5146912566667,128.793243933333,11.3329489933333,1.00154816866667,1.000553622,8.89291228975,2.98099236825,154.5104039,12.4277966133333,23.552528126
"pl",NA,NA,NA,NA,NA,164.4097229,12.812028242,199.293223588,12.7878806408,109.829909596,10.4287240246,105.024170714,10.1666398586,100.913717276,9.8931191684,108.107282798,10.2935904774,NA,91.617627186,9.5561488324,110.65916162,10.396045565,87.027516074,NA,9.2684561346,NA,103.191306978,10.1535711136,112.76983548,10.6013575008,151.333935292,12.0635738764,155.57972974,12.327512892,86.24754607,9.2810758512,124.19659278,10.8680052218,254.310979825,15.8535904075,76.2493272925,8.66150922425,133.431580825,11.517994375,102.279894526667,10.09431408,94.02289738,9.665227893,108.944678933333,10.403248758,128.2350347,11.29130785,126.2344888,11.2081116466667,99.5114722033333,9.972540288,91.6072862733333,9.532049909,105.956749833333,10.2920997066667,123.850059666667,11.1283905566667,123.057587033333,11.0906229633333,1.22751072666667,1.107473529,10.39959679525,3.21880083225,234.854375733333,15.04115619,19.34066429275
"wg",NA,NA,NA,NA,NA,280.716691106,16.0604445826,136.99782379,11.6150182162,83.463061192,9.1111307146,83.47676448,9.114109967,89.964194116,9.3508225002,97.680526882,9.633901,NA,98.746156498,9.898539643,90.76152877,9.4539874812,102.527674778,NA,9.9858876182,NA,104.626134954,10.2206746478,105.426046658,10.2591834976,158.1782142,12.563500196,145.33162294,12.047825994,90.612640664,9.5144657952,74.33544619,8.16487692575,127.892713998,11.2618671918,111.38177324,10.549596966,126.5358879025,11.207153955,90.457269135,9.509593295,65.522958595,8.0746202795,106.38723735,10.31431216,121.07097815,10.983648665,118.316563,10.851736375,97.553723675,9.8764654235,73.233644105,8.540470438,112.0731454,10.58575722,124.5454344,11.144482645,121.38395815,10.996467745,0.081972436,0.2836889345,0.43262405825,0.65466143625,413.510637966667,20.2866204266667,23.7334650925
"wh",NA,NA,NA,NA,NA,119.235831924,10.8272435148,142.21645414,11.92250735,102.706799548,10.0900104802,88.493345532,9.3822301678,102.922000652,10.123786076,156.16550648,12.470329256,NA,65.526403114,8.0947410442,91.329665102,9.3802079974,56.723197542,NA,7.299886613,NA,108.004468464,10.3141821198,79.651791256,8.7771772248,NA,NA,NA,NA,218.94918556,14.790647426,82.156899115,8.92677173075,151.594462394,11.6318932548,294.03039772,16.592299002,71.69664649,8.431119553,86.67216431,9.29288168366667,81.0189415066667,8.96602043433333,90.6667777433333,9.48847722266667,89.4452277266667,9.400328137,91.3350538266667,9.49097917466667,96.35059101,9.80865338166667,89.4567413266667,9.397395204,101.262134746667,10.0568243663333,99.7636028133333,9.980944639,102.251717453333,10.0960374686667,0.112013827666667,0.334482956333333,0.29481429,0.54200977125,132.437953533333,11.4590063633333,-29.3981171555
"wk",NA,NA,NA,NA,NA,120.835412794,10.4708310692,78.035827494,8.8216167984,90.071257552,9.4336861128,88.979608,9.3898586646,87.229885536,9.3383878426,81.905765618,9.0461189422,NA,106.84158908,10.334628806,165.78177656,12.801545178,137.264710896,NA,11.6103026276,NA,112.10763116,10.581443804,135.13418418,11.622261712,136.8216405,11.69584679,136.9572306,11.699820218,101.416395368,10.0609301158,91.20860689,9.5138501316,193.6474991,13.888466178,82.1954187,9.0089679838,131.539787725,11.44423382,92.374379665,9.609142878,107.594848695,10.36478825,83.094709655,9.11494193,47.797003585,6.913272071,49.4075981,7.028946601,112.7092606,10.61598303,131.0440939,11.446999525,101.509411035,10.073523906,59.02276055,7.6767273585,60.947540805,7.801843543,0.111960436,0.3331142055,0.3594261515,0.59804765575,190.060792025,13.7681161875,29.08627024325
"wl",NA,NA,NA,NA,NA,66.9381956525,8.01354144375,119.610350375,10.927845005,105.389801414,10.241340997,92.123408084,9.5887739192,102.953265382,10.1274215546,121.14651024,10.994239534,NA,84.668544904,9.20030187,137.492439814,11.5736306526,69.661360538,NA,8.2707868494,NA,140.32712032,11.842319924,105.302513562,10.2463164224,NA,NA,NA,NA,179.21035738,13.366986616,67.3360061208,7.6237947956,107.116302465,9.99766667375,19.481870218,3.8798852415,108.57137726,10.3855200305,116.367264493333,10.756937868,130.4522949,11.373545511,108.264506136667,10.3405432846667,126.13445621,11.176724689,118.796165623333,10.8475887786667,104.69185446,10.223469189,118.3656887,10.7896637926667,96.5121990866667,9.82116111666667,112.315710233333,10.5852783133333,106.778792286667,10.317029022,0.0774450263333333,0.278191606666667,0.229427919,0.47747738125,114.711648206667,10.6787465476667,7.28735702875
